,sentence,canonical_aspect,runs_count,runs,experiment_sets,raw_aspects,aspect_categories,majority_category,sentiments,tones,avg_confidence
3108,"Kami terus beradaptasi dengan teknologi informasi dan komunikasi yang berkembang cepat, untuk memberikan layanan terbaik serta perlindungan maksimal kepada pemirsa sebagai pemangku kepentingan utama.",adaptasi terhadap teknologi informasi dan komunikasi,1,absa_20260113_005308_SCM_2020_scm-sr-2020-final-1_pdf_absa_zero_shot_Qwen3_Coder_(Free).json,SCM_2020_multiple,Adaptasi terhadap teknologi informasi dan komunikasi,E,E,positive,Action,0.95
2157,"In response to these challenges, we have accelerated our efforts to navigate our changing environment to capitalize on emerging opportunities.",adaptation efforts,1,absa_20260114_033220_indofood_report_1_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,indofood_indf,Adaptation Efforts,G,G,positive,Action,
5057,"Perseroan juga terus beradaptasi seiring berkembangnya teknologi informasi dan komunikasi, untuk dapat memberikan pelayanan terbaik bagi pemirsa.",adaptation to technological advancements,1,absa_20260113_013419_SCM_2022_sr-scma-2022_pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json,SCM_2022_multiple,adaptation to technological advancements,S,S,positive,Commitment,0.75
1861,Hal ini kami lakukan dengan memanfaatkan model bisnis kami yang terindustrialisasi dan terintegrasi secara vertikal untuk meningkatkan ketahanan pangan sekaligus berkontribusi mengatasi masalah malanutrisi di masyarakat.,addressing malnutrition,1,absa_20260113_040706_japfa_report_2_pdf_absa_zero_shot_Gemini_2.0_Flash_Exp_(Free).json,japfa_report_2,Addressing Malnutrition,S,S,positive,Commitment,0.9
5377,"Populasi Indonesia yang terus bertumbuh pesat disertai isu malnutrisi, juga menjadi pendorong bagi kami untuk terus melangkah maju",addressing malnutrition in growing population,1,absa_20260113_035019_japfa_report_3_pdf_absa_zero_shot_Qwen3_Coder_(Free).json,japfa_report_3,addressing malnutrition in growing population,S,S,positive,Commitment,0.8
7559,"We have to respond more urgently to the systemic disparities dividing our societies – whether it is driven by wealth, gender, or other factors – because progress is not progress unless it is for us all.",addressing systemic disparities in society,1,absa_20260207_103903_GoTo_s_2021_Sustainability_Report_absa_indonesia_zero_shot_Qwen3_Coder__Free_.json,MultiPDF_ABSA_20260207_0808,Addressing systemic disparities in society,S,S,neutral,Risk,0.95
5318,"Pertama, kami mengadopsi otomatisasi dan digitalisasi dalam proses produksi di seluruh lini bisnis.",adopsi otomatisasi dan digitalisasi dalam proses produksi,1,absa_20260214_093336_Sustainability-Report-CPIN-2024_20260207_071745_20260207_071747_absa_indonesia_zero_shot_Qwen3_Coder__Free_.json,MultiPDF_ABSA_20260214_0830,Adopsi otomatisasi dan digitalisasi dalam proses produksi,E,E,positive,Action,0.95
587,"Bagi tim yang harus tetap bekerja di kantor, studio, maupun fasilitas teknik, kami mengadopsi protokol kesehatan yang ketat.",adopsi protokol kesehatan ketat,1,absa_20260113_005308_SCM_2020_scm-sr-2020-final-1_pdf_absa_zero_shot_Qwen3_Coder_(Free).json,SCM_2020_multiple,Adopsi protokol kesehatan ketat,S,S,positive,Action,0.95
6878,"Throughout 2016, Erajaya Group has operated entire business activities by upholding CGC principles.",adoption of good corporate governance (cgc) principles,1,absa_20260214_195425_37_20260207_070514_20260207_070521_absa_indonesia_zero_shot_md_Nemotron_3_Nano_30B_A3B__Free_.json,MultiPDF_ABSA_20260214_1938,Adoption of Good Corporate Governance (CGC) principles,G,G,positive,Action,0.96
7694,"With almost 50 years of farming experience, we have created a large scale standardised operation through the use of advanced technologies in feed and farming, biosecurity and animal welfare.",advanced technologies,1,absa_20260113_031607_japfa_report_5_pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json,japfa_report_5,Advanced Technologies,E,E,positive,Action,0.85
7095,Unit bisnis kami didukung oleh peralatan yang berteknologi mutakhir dan fasilitas penelitian terbaik.,advanced technology adoption,1,absa_20260113_031435_japfa_report_6_pdf_absa_few_shot_Qwen3_Coder_(Free).json,japfa_report_6,advanced technology adoption,E,E,positive,Commitment,0.9
7096,Unit bisnis kami didukung oleh peralatan yang berteknologi mutakhir dan fasilitas penelitian terbaik.,advanced technology and research facilities,1,absa_20260113_031315_japfa_report_6_pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json,japfa_report_6,advanced technology and research facilities,E,E,positive,Outcome,0.85
1479,"Ensure access to affordable, reliable, sustainable and modern energy for all",affordable and clean energy,1,absa_20260113_100303_bumi_resources_Sustainability_Report_2019_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,bumi_resources_Sustainability_Report_2019,Affordable and Clean Energy,E,E,Positive,Commitment,
2423,Japfa berkomitmen untuk tetap menjadi bagian dari kehidupan sehari-hari masyarakat Indonesia dengan berpegang teguh pada misi Japfa untuk menjadi penyedia terkemuka dan terpercaya di bidang produk pangan berprotein terjangkau di Indonesia.,affordable nutrition,2,"absa_20260113_024349_japfa_report_1_pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json, absa_20260113_024900_japfa_report_1_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json",japfa_report_1,Affordable Nutrition,S,S,positive,Commitment,0.95
7663,We were able to adapt quickly as the situation unfolded and stay committed to provide affordable nutritious protein for the masses.,affordable nutrition,1,absa_20260113_034425_japfa_report_4_pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json,japfa_report_4,affordable nutrition,S,S,positive,Commitment,0.85
7762,kami merayakan lima dekade perjalanan dalam menyediakan protein bergizi yang terjangkau bagi masyarakat melalui praktik bisnis yang berkelanjutan,affordable nutrition & sustainable practices,1,absa_20260113_035443_japfa_report_3_pdf_absa_cot_DeepSeek_R1T2_Chimera_(Free).json,japfa_report_3,Affordable Nutrition & Sustainable Practices,S,S,positive,Commitment,0.9
3877,Menjadi penyedia terkemuka dan terpercaya di bidang produk pangan berprotein terjangkau di Indonesia,affordable protein products,1,absa_20260113_040905_japfa_report_2_pdf_absa_cot_Qwen3_Coder_(Free).json,japfa_report_2,Affordable Protein Products,S,S,positive,Commitment,0.9
1912,"However, We also enhance our after-sales service commitment to all customers through strategic partnership with various trusted partners.",after-sales service,1,absa_20260113_145042_erajaya_annual_Report_2016_pdf_absa_cot_LLaMA_3.3_70B_Instruct_(Free).json,erajaya_annual_Report_2016,after-sales service,S,S,positive,Commitment,0.8
6260,The Company also enhances our after-sales service commitment to all customers through strategic partnership with various trusted partners.,after-sales service commitment,1,absa_20260113_145402_erajaya_annual_Report_2016_pdf_absa_few_shot_Nemotron_3_Nano_30B_A3B_(Free).json,erajaya_annual_Report_2016,after-sales service commitment,S,S,positive,Commitment,0.8
294,"Agribusinesses also face complex sustainability issues, from forest protection, land and human rights issues, to supply chain traceability.",agribusiness sustainability issues,1,absa_20260114_030104_indofood_report_4_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,indofood_indf,Agribusiness Sustainability Issues,S,S,Negative,Commitment,
3900,"Menyediakan pelatihan dan mendukung petani di Kebumen dan Pamarican membangun ekosistem bersama yang cerdas, untuk menjadi lebih produktif, efektif dan memiliki nilai jual yang lebih tinggi.",agricultural development,1,absa_20260115_123828_mandiri_Laporan_Keberlanjutan_2022_pdf_absa_zero_shot_LLaMA_3.3_70B_Instruct_(Free).json,MultiPDF_ABSA_20260115_1155,Agricultural Development,S,S,positive,Action,0.85
7050,"Training 11,000 farmers in Kebumen & Pamarican through Rice Milling Unit program",agricultural development,1,absa_20260115_123646_mandiri_Laporan_Keberlanjutan_2022_pdf_absa_zero_shot_DeepSeek_R1T2_Chimera_(Free).json,MultiPDF_ABSA_20260115_1155,Agricultural Development,S,S,positive,Action,0.94
5587,"Rice Milling Unit supports 11,000 farmers with capacity of 3 tons/hour.",agricultural support,1,absa_20260115_123943_mandiri_Laporan_Keberlanjutan_2022_pdf_absa_cot_DeepSeek_R1T2_Chimera_(Free).json,MultiPDF_ABSA_20260115_1155,Agricultural Support,S,S,positive,Action,0.9
7771,kemajuan dalam kecerdasan buatan (Artificial Intelligence/AI) semakin menjadi referensi dan pilihan dalam meningkatkan efisiensi kerja sekaligus memanfaatkan peluang usaha baru ini.,ai adoption for efficiency,1,absa_20260111_180746_yearly_report_2023_pdf_absa_few_shot.json,yearly_report_2023,AI adoption for efficiency,E,E,positive,Observation,0.8
2173,"In this case, the Company utilizes Artificial Intelligence (AI) technology to develop personalized products and services for each market segment and achieve efficiency in business processes.",ai for business efficiency,1,absa_20260113_020507_SCM_2024_090425-sr24-scma-pdf-final_pdf_absa_cot_Qwen3_Coder_(Free).json,SCM_2024_multiple,AI for Business Efficiency,E,E,positive,Action,0.9
423,"At GoTo, we integrated AI into select products to optimize functionality and improve employee and customer experience.",ai integration,1,absa_20260112_183520_GoTo-FY23-ESG-Report_pdf_absa_zero_shot_DeepSeek_R1T2_Chimera_(Free).json,GoTo-FY23_multiple,AI Integration,G,G,positive,Action,0.9
5557,Rencana pengadaan produk dan layanan yang mengikuti tren AI pun menjadi salah satu strategi penting yang akan ditempuh guna memastikan PT Galva Technologies Tbk (GLVA) dapat terus menghadirkan solusi-solusi yang terdepan dan inovatif.,ai integration,1,absa_20260111_180823_yearly_report_2023_pdf_absa_cot.json,yearly_report_2023,AI Integration,E,E,Positive,Action,0.9
7577,We integrated AI into select products to optimize functionality and improve employee and customer experience.,ai integration in products,2,"absa_20260112_161424_GoTo-FY23-ESG-Report_pdf_absa_zero_shot.json, absa_20260112_161442_GoTo-FY23-ESG-Report_pdf_absa_few_shot.json",GoTo-FY23,AI integration in products,G,G,positive,Action,0.85
3953,"Moreover, SCMA is also able to anticipate and utilize Artificial Intelligence (AI) technology to create more creative content innovations and personalized services for each market segment.",ai technology adoption,1,absa_20260113_020507_SCM_2024_090425-sr24-scma-pdf-final_pdf_absa_cot_Qwen3_Coder_(Free).json,SCM_2024_multiple,AI Technology Adoption,E,E,positive,Action,0.9
2174,"In this case, the Company utilizes Artificial Intelligence (AI) technology to develop personalized products and services for each market segment and achieve efficiency in business processes.",ai technology utilization,1,absa_20260113_020250_SCM_2024_090425-sr24-scma-pdf-final_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,SCM_2024_multiple,AI Technology Utilization,E,E,Positive,Action,0.8
1478,"Enhancing our products with artificial intelligence, such as with our autonomous vehicles and robots, increases their utilization, makes them more efficient and safer to use while increasing access and further reducing emissions.",ai-driven efficiency and emissions reduction,1,absa_20260206_201357_2024-tesla-impact-report_pdf_absa_cot_Nemotron_3_Nano_30B_A3B_(Free).json,MultiPDF_ABSA_20260206_1934,AI-driven efficiency and emissions reduction,E,E,positive,Action,0.92
6453,The Company utilizes Artificial Intelligence (AI) technology to develop personalized products and services for each market segment and achieve efficiency in business processes.,ai-driven personalized products and process efficiency,1,absa_20260113_020538_SCM_2024_090425-sr24-scma-pdf-final_pdf_absa_cot_Nemotron_3_Nano_30B_A3B_(Free).json,SCM_2024_multiple,AI-driven personalized products and process efficiency,E,E,positive,Action,0.9
1008,"Dalam rangka mendukung tercapainya pertumbuhan yang keberlanjutan, Perseroan mengonsolidasikan keunggulan dari masing-masing portofolio ... memanfaatkan teknologi Artificial Intelligence (AI) untuk membantu membuat produk dan layanan yang terpersonalisasi bagi setiap segmen pasar dan meraih efisiensi dalam proses bisnis.",ai-driven personalized services and process efficiency,1,absa_20260113_020855_SCM_2024_090425-sr24-scma-pdf-final_pdf_absa_few_shot_Nemotron_3_Nano_30B_A3B_(Free).json,SCM_2024_multiple,AI-driven personalized services and process efficiency,G,G,positive,Commitment,0.85
5558,Rencana pengadaan produk dan layanan yang mengikuti tren AI pun menjadi salah satu strategi penting yang akan ditempuh guna memastikan PT Galva Technologies Tbk (GLVA) dapat terus menghadirkan solusi-solusi yang terdepan dan inovatif.,ai-driven product development,1,absa_20260111_180746_yearly_report_2023_pdf_absa_few_shot.json,yearly_report_2023,AI-driven product development,E,E,positive,Strategy,0.9
139,"4 murals using special paint that absorb air pollution, equivalent to planting 700 trees.",air pollution absorption via murals,1,absa_20260114_120318_Sustainability_Reports_MAP_2021_pdf_absa_few_shot_Nemotron_3_Nano_30B_A3B_(Free).json,MultiPDF_ABSA_20260114_1136,air pollution absorption via murals,E,E,positive,Initiative,0.85
2107,"In cooperation with Converse and local artists, MAP has made 4 murals using special paint that could absorb air pollution and was equal to planting 700 trees.",air pollution reduction,2,"absa_20260114_113111_Sustainability_Reports_MAP_2021_pdf_absa_few_shot_Mistral_Devstral_25.12_(Free).json, absa_20260114_121048_Sustainability_Reports_MAP_2021_pdf_absa_cot_Gemini_2.0_Flash_Exp_(Free).json","MultiPDF_ABSA_20260114_1129, MultiPDF_ABSA_20260114_1136","Air pollution reduction, air pollution reduction",E,E,"1, positive",Outcome,0.9
3491,MAP has made 4 murals using special paint that could absorb air pollution and was equal to planting 700 trees.,air pollution reduction,1,absa_20260114_114052_Sustainability_Reports_MAP_2021_pdf_absa_zero_shot_Gemini_2.0_Flash_Exp_(Free).json,MultiPDF_ABSA_20260114_1136,Air pollution reduction,E,E,positive,Action,0.9
2108,"In cooperation with Converse and local artists, MAP has made 4 murals using special paint that could absorb air pollution and was equal to planting 700 trees.",air pollution reduction initiatives,1,absa_20260114_120932_Sustainability_Reports_MAP_2021_pdf_absa_cot_Qwen3_Coder_(Free).json,MultiPDF_ABSA_20260114_1136,Air Pollution Reduction Initiatives,E,E,POSITIVE,Action,0.9
4301,Our zero direct-emission products contribute less climate-warming carbon and less fine particulate pollution into the Earth's atmosphere.,air quality,1,absa_20260206_200930_2024-tesla-impact-report_pdf_absa_zero_shot_DeepSeek_R1T2_Chimera_(Free).json,MultiPDF_ABSA_20260206_1934,Air Quality,E,E,positive,Outcome,0.95
2109,"In cooperation with Converse and local artists, MAP has made 4 murals using special paint that could absorb air pollution and was equal to planting 700 trees.",air quality improvement,1,absa_20260114_113003_Sustainability_Reports_MAP_2021_pdf_absa_zero_shot_Mistral_Devstral_25.12_(Free).json,MultiPDF_ABSA_20260114_1129,Air Quality Improvement,E,E,positive,Action,0.85
911,Converse City Forest murals using pollution-absorbing paint equivalent to planting 700 trees.,air quality management,1,absa_20260114_113753_Sustainability_Reports_MAP_2021_pdf_absa_zero_shot_DeepSeek_R1T2_Chimera_(Free).json,MultiPDF_ABSA_20260114_1136,Air Quality Management,E,E,positive,Action,0.9
2969,"Kami menyediakan produk dan layanan keuangan yang telah disesuaikan dengan kebutuhan masyarakat, serta dapat diakses melalui kantor-kantor cabang Bank, layanan digital, Agen Mandiri, serta pihak-pihak lainnya yang bekerja sama dengan Bank untuk menyediakan layanan keuangan.",akses layanan keuangan,1,absa_20260115_122155_mandiri_Laporan_Keberlanjutan_2023_pdf_absa_cot_Mistral_Devstral_25.12_(Free).json,MultiPDF_ABSA_20260115_1155,akses layanan keuangan,S,S,positive,Action,
5376,Populasi Dunia yang Tidak Mampu Membeli Makanan Sehat,akses terhadap pangan sehat,1,absa_20260214_091320_Sustainability_Report_2022_PT_Japfa_Comfeed_Indonesia_Tbk_20260207_064253_20260207_064258_absa_indonesia_zero_shot_Qwen3_Coder__Free_.json,MultiPDF_ABSA_20260214_0830,Akses terhadap pangan sehat,S,S,negative,Risk,0.9
3083,"Kami telah mengurangi emisi hampir 11% dan melipatgandakan jumlah armada kendaraan listrik kami, serta menjadi yang pertama di industri ini yang meluncurkan mode kontras aksesibilitas bagi penyandang buta warna dan menyediakan akses yang lebih baik ke teknologi finansial bagi 11 juta penduduk Indonesia melalui aplikasi GoPay yang telah meraih penghargaan.",aksesibilitas,1,absa_20260207_095803_GoTo_s_2023_Sustainability_Report_absa_indonesia_zero_shot_LLaMA_3_3_70B_Instruct__Free_.json,MultiPDF_ABSA_20260207_0808,Aksesibilitas,S,S,positive,Outcome,0.95
10,...menjadi yang pertama di industri ini yang meluncurkan mode kontras aksesibilitas bagi penyandang buta warna...,aksesibilitas digital untuk penyandang disabilitas,1,absa_20260207_095005_GoTo_s_2023_Sustainability_Report_absa_indonesia_cot_Qwen3_Coder__Free_.json,MultiPDF_ABSA_20260207_0808,Aksesibilitas digital untuk penyandang disabilitas,S,S,positive,Action,0.9
4788,Penggunaan platform digital yang semakin meningkat untuk menyampaikan informasi dan hiburan memampukan industri media untuk menciptakan pengalaman yang berbeda kepada pemirsa dalam menikmati konten berkualitas yang dapat diakses kapanpun dan di manapun.,aksesibilitas konten,1,absa_20260207_084656_scm_2024_absa_indonesia_cot_DeepSeek_R1T2_Chimera__Free_.json,MultiPDF_ABSA_20260207_0808,Aksesibilitas Konten,S,S,positive,Outcome,0.75
