,raw_aspects,aspect_categories,majority_category,sentiments,tones,avg_confidence
218,Dampak sosial positif dari inovasi,E,E,positive,Outcome,0.5201027183554703
219,Employee Development,S,S,positive,Commitment,0.2906847069715309
220,Shareholder Engagement,E,S,positive,Action,0.6204790258510572
221,Environmental & Social Commitment,E,E,Positive,Commitment,0.861093275777294
222,"Commitment to People and Planet, corporate values and commitments",S,S,Positive,Action,0.533469978337226
223,ESG Rating,S,S,positive,Outcome,0.4120364799815718
224,Sosial,G,S,neutral,Action,0.3989008062723022
225,Pemangku kepentingan dan komitmen perusahaan,G,E,positive,Outcome,0.278480441178116
226,Responsible AI Usage,E,G,positive,Commitment,0.3347366834642227
227,stakeholder consideration,S,E,"Positive, positive",Action,0.2090796484437999
228,Sustainable Certification,S,S,positive,Action,0.7433195831679905
229,net zero emissions target,E,S,POSITIVE,Outcome,0.06357707307903471
230,Customer Relations,E,E,positive,"Outcome, action",0.3801148493621852
231,business performance,S,G,positive,Action,0.9517428053643944
232,"Pembelian Kembali Saham, pembelian kembali saham",G,S,positive,Action,0.19124643948500075
233,financed emissions reduction,E,E,positive,Outcome,0.461263035395565
234,Awards,G,G,positive,Action,0.8744773272131701
235,pandemic challenges,E,G,positive,Action,0.39027879542199173
236,Board oversight of sustainability,S,G,positive,Commitment,0.5862853254048969
237,future impact,S,E,positive,Commitment,0.4382667327658287
238,ESG Integration,S,G,positive,Commitment,0.9106088898099404
239,Pertumbuhan Ekonomi,E,E,positive,Outcome,0.9358782003489459
240,sustainability program for partners,E,E,Positif,Outcome,0.3191283434467821
241,"Environmental Initiative, environmental initiative",S,E,positive,Outcome,0.7090370437227113
242,"Corporate Governance Practices, corporate governance practices",G,G,positive,Governance,0.06844419360487408
243,"Digital Transformation, digitalization",G,E,Neutral,Action,0.14244839702295908
244,Infrastructure Maintenance,S,G,positive,Commitment,0.4177961763807496
245,ESG Risk Management,E,S,"Positive, positive",Commitment,0.5047610866611955
246,Creating added value through sustainability,S,E,positive,Outcome,0.8820179866121305
247,Emissions Accounting Advocacy,E,E,positive,Outcome,0.7764847716173957
248,innovation and affordability,E,S,Positive,Commitment,0.7933679458671102
249,Awards,E,S,"Positive, positive",Commitment,0.10417588658532184
250,Employee Development,E,E,positive,Outcome,0.6707382584253576
251,Lingkungan,S,E,neutral,Commitment,0.7624203682501971
252,Employee Development,S,G,"Positive, positive",Commitment,0.5043497318176726
253,Responsible sourcing,S,E,Positif,Action,0.1970831222086158
254,peluncuran obligasi hijau,S,G,positive,Governance,0.07904238412849707
255,social life cycle assessment,E,E,positive,Commitment,0.9320938447832293
256,Pengembangan SDM,G,G,neutral,Outcome,0.3466804788905935
257,"focus areas: sustainable consumption and production, animal welfare, supporting farmers, community development",S,E,Positive,Commitment,0.29125748722552536
258,Green Alliance LOI - EV product promotion,S,G,"Positive, positive",Commitment,0.807325990836693
259,sustainability culture,E,S,positive,Commitment,0.6967786343092643
260,business transformation,S,E,positive,Outcome,0.6937935257818412
261,environmental factors,S,S,positive,Action,0.36343050249031217
262,Gender Diversity,G,S,positive,Commitment,0.8837457794634264
263,Market Expansion,G,E,Positive,Commitment,0.6307202406909644
264,biosecurity measures,S,E,"Positive, positive",Action,0.350440489535908
265,Employment,G,E,positive,Action,0.8248986704909527
266,business expansion,G,G,positive,Commitment,0.8875035435714989
267,Sustainability Pillars,G,E,positive,Commitment,0.7144988991762183
268,"Employment Generation, Employment generation, employment generation",E,G,Positive,Action,0.19616837944033594
269,Affordable Protein Products,G,E,positive,Commitment,0.27800679902708625
270,Community Development,S,S,positive,Commitment,0.47456706158306505
271,"Ownership, Partnerships, partnerships and collaborations",S,E,neutral,"Aspiration, Commitment",0.5994567123428953
272,Innovation,E,E,positive,Commitment,0.06024662843360795
273,innovation for efficiency,G,G,positive,Action,0.7194476552269563
274,Good Corporate Governance (upholding CGC principles),E,G,positive,Outcome,0.0849110441592259
275,"Keberlanjutan, inklusivitas, dan keadilan sosial",G,G,"Positive, positive",Metric,0.9206955578479706
276,"Food Safety Certification, food safety certification",E,G,positive,Commitment,0.9679692775943449
277,Workforce Diversity,G,E,Netral,Action,0.28532434168469467
278,Energy Sources,E,G,neutral,Outcome,0.3072278481914942
279,"Reduction in absolute emissions, Reduction in emissions",G,G,positive,Commitment,0.4817225503301399
280,stakeholder value,E,E,positive,Outcome,0.05638505614248568
281,sustainable practices monitoring,G,G,positive,Action,0.2518506110823331
282,waste management in communities,E,G,neutral,Strategy,0.7772678086733859
283,Profitability,E,E,neutral,Commitment,0.13099721553016586
284,Sustainable and responsible operations,S,G,neutral,Outcome,0.599200344887485
285,mutual prosperity,E,G,positive,Action,0.8718049417246162
286,Social,E,E,Neutral,Outcome,0.9871947112316228
287,Clean Energy Development,G,G,positive,Action,0.6517366169324227
288,sustainability strategy,S,E,positive,Action,0.9261622073851881
289,Policy contribution to a better future,E,E,positive,Commitment,0.8168107124525312
290,Nutrition Access,E,G,positive,Commitment,0.6813390658773008
291,guarantee and underwriting of global bonds,E,E,"neutral, positive",Action,0.564950289584667
292,Penerapan prinsip GCG,E,E,positive,Outcome,0.5556771681055835
293,Environmental,G,E,positive,Commitment,0.5996136268119622
294,Kapasitas Produksi LPG,E,E,positive,Commitment,0.8087960311441329
295,sustainable infrastructure,E,G,Neutral,Outcome,0.4234714326169978
296,"External Challenges, external challenges",E,E,positive,Commitment,0.9599112289608275
297,wastewater treatment,G,E,positive,Action,0.1738387359577348
298,"Energy Conservation, energy conservation",E,E,positive,Opportunity,0.7946988261203572
299,Climate Financial Impact,E,G,positive,Overview,0.2592457703470088
300,"Sustainable Certification Progress, sustainable certification progress",G,E,positive,Action,0.479360255393004
301,market leadership in telecommunication,S,G,positive,Commitment,0.9591316293699629
302,Ketahanan Pangan,G,G,positive,Action,0.4875783144626753
303,Dampak lingkungan,"G, None",G,negative,Commitment,0.21294049657522274
304,Penciptaan Dampak Positif,E,S,neutral,Action,0.7466494525106174
305,Adaptability,G,S,positive,Outcome,0.4758141823969335
306,Community Engagement,S,S,positive,Commitment,0.6332824795481148
307,occupational safety,E,G,"Positive, positive",Outcome,0.8625216436759019
308,Commitment to achieving Net-Zero Emission,E,S,positive,Policy,0.7102531659450304
309,market conditions,S,S,Positive,Action,0.5891071177760756
310,business model innovation and market competitiveness,G,G,positive,Commitment,0.30473275195580585
311,"Life Cycle Assessment, life cycle assessment",E,E,positive,Action,0.2737272840817425
312,climate risk mitigation,S,E,positive,Commitment,0.7226444152414023
313,Customer value proposition,E,S,positive,Commitment,0.9535104028050371
314,Workplace Safety,S,S,positive,"Commitment, Outcome",0.9395131833291143
315,environmental preservation education,E,E,positive,Commitment,0.3904436213524348
316,SDG and GRI Standards,ESG,S,positive,Commitment,0.893269548379834
317,Employee Training,S,E,positive,Action,0.03376078255714654
318,Sustainability Commitment,E,E,positive,Outcome,0.9846235943989986
319,material ESG topics revalidation,E,E,positive,Outcome,0.9764149210017938
320,youth employment and education,E,G,neutral,Action,0.9140990737261963
321,pengurangan konsumsi energi,G,S,positive,Commitment,0.13706781533819357
322,JUMLAH KARYAWAN PEREMPUAN,E,E,positive,Commitment,0.7490603361244506
323,"Resource Efficiency, resource efficiency",S,G,positive,Action,0.1209405001746563
324,Social Impact,E,S,positive,Challenge,0.37693461934166317
325,labor data coverage,G,G,positive,Commitment,0.02454376711973072
326,"Operasi Pasar yang Adil, operasi pasar yang adil",G,S,positive,Outcome,0.9147060230314684
327,layanan kanal distribusi online,E,E,positive,Outcome,0.555908049421108
328,reducing poverty,E,S,positive,Commitment,0.06290270358339267
329,Awards,E,E,neutral,Commitment,0.6049987471239708
330,Community Welfare,E,S,positive,Commitment,0.5938393610388997
331,"Overall Company Performance, Overall company performance",E,G,positive,Commitment,0.6323163816157211
332,community development investment,S,S,positive,Commitment,0.7187128884612305
333,Sustainable Consumption,E,E,Neutral,Outcome,0.9719376149868445
334,financial transparency,E,E,POSITIVE,Action,0.29455300540999496
335,"Vision, mission and corporate values",E,E,positive,Outcome,0.12694395468946085
336,Sustainable and Fair Business Growth Commitment,S,S,positive,Outcome,0.4547069463865612
337,Reporting,S,S,negative,Commitment,0.8801703550715453
338,Inovasi dan Teknologi,E,E,positive,Outcome,0.7782827634705597
339,"Carbon Neutrality Commitment, carbon neutrality commitment",E,G,positive,Commitment,0.2180649633040035
340,Adopsi otomatisasi dan digitalisasi dalam proses produksi,ESG,E,positive,Challenge,0.8490712867890423
341,Market Performance,G,S,positive,Action,0.12966188678358492
342,Kepatuhan regulasi,E,G,positive,Outcome,0.550435993817033
343,employee development,G,E,negative,Outcome,0.03235063943962524
344,Recycling,E,S,positive,"Komitmenn, Outcome",0.6135825170300627
345,"Customer experience investment, customer experience investment",E,E,Positive,Action,0.8644663264424894
346,Accessibility and digital services,E,E,positive,Performance,0.9846453510073683
347,CSR Programs,E,S,positive,Commitment,0.33443098365069734
348,Exchange rate volatility,S,E,neutral,Commitment,0.002845844274403042
349,ESG Governance,S,G,positive,"Action, Outcome",0.3443970018732264
350,sustainable packaging,G,E,positive,"Commitment, Factual, Outcome",0.4461364389857866
351,Kinerja Berkelanjutan,"E, G",G,neutral,"Action, Outcome",0.2803200507761482
352,net-zero emission dan keuangan berkelanjutan,S,S,Positive,Commitment,0.8235489455896616
353,Corporate Values - Innovation,E,E,positive,Factual,0.7871584766015499
354,retail expansion,E,E,positive,Outcome,0.9845766064358775
355,Report Assurance,G,E,positive,Commitment,0.4706200456984604
356,sustainable operations,E,E,positive,Outcome,0.7128498239963185
357,Climate Consideration,S,G,positive,Action,0.8507859839878098
358,Community Development and Empowerment,G,S,positive,,0.27923840349307716
359,Road safety ratings,E,S,positive,Commitment,0.7735381196569245
360,Supply Chain Collaboration,"E, G",E,positive,Commitment,0.9221318958076157
361,Corporate Governance,E,S,positive,Commitment,0.8183265418739596
362,Corporate Governance,S,S,positive,Outcome,0.41288525183397073
363,Climate Change Control through GHG Inventory,S,E,positive,Outcome,0.9648462318296809
364,Sustainability Targets,E,S,positive,"Action, Commitment",0.4510595765310651
365,ESG governance,E,S,positive,Commitment,0.2519041133697003
366,"Water Efficiency Upgrades, water efficiency upgrades",G,E,POSITIVE,Commitment,0.6343626198954666
367,Corporate Governance Implementation,G,E,positive,Outcome,0.6939383664992194
368,"Media Ethics, media ethics",S,G,positive,Commitment,0.3472255410181405
369,Reduction in energy consumption,S,G,positive,Action,0.07126313158438136
370,Strategi Perusahaan,E,G,positive,Action,0.829659835669672
371,Pengurangan Jejak Karbon,S,E,positive,Action,0.9228782957157269
372,Risiko Perubahan Iklim,G,G,positive,Action,0.7210549397577949
373,regulatory compliance,E,E,positive,Commitment,0.4121892816436237
374,Pendidikan Masyarakat,G,S,positive,Outcome,0.3454550352799475
375,water stewardship,G,E,Positive,Commitment,0.04665616901097702
376,pandemic challenges,E,G,positive,Outcome,0.9480348853600705
377,Impact on consumer confidence and advertising spending,G,G,Positive,Outcome,0.14570231054532345
378,Business Operations,E,E,positive,Action,0.13233536336215235
379,expansion of retail outlets,E,G,neutral,Action,0.6251931198334916
380,sustainability performance,E,E,positive,Outcome,0.5399509336758374
381,"Keamanan Produk, Keamanan produk",E,S,positive,Outcome,0.9602413967661624
382,Employee Training,G,E,1,Action,0.6247544603461969
383,economic performance,E,G,positive,"Action, Commitment",0.6802219790331018
384,Akses terhadap pangan sehat,E,E,positive,Commitment,0.20258509864379237
385,sustainable finance,E,E,positive,Outcome,0.014528155689501943
386,Capital Investment,G,S,positive,Commitment,0.3419406615377568
387,sustainability strategy,S,S,positive,Action,0.8418898050486953
388,Exchange rate fluctuations,E,E,"Positive, neutral",Action,0.9069680969087508
389,Kepedulian Sosial,E,S,positive,Outcome,0.0009639240791422532
390,laporan keberlanjutan,E,E,Neutral,Outcome,0.1987525401492768
391,social fund distribution,E,S,Positive,Commitment,0.8162057895004643
392,renewable energy,S,S,positive,Action,0.824526594641849
393,kesehatan dan keselamatan,E,S,positive,Commitment,0.15392419711209804
394,"Human Rights, human rights",S,S,positive,Commitment,0.5035565238495029
395,Sustainable Operations,S,G,positive,Outcome,0.9559207313885294
396,"Operational efficiency and safety, operational efficiency and safety",G,E,positive,"Action, Outcome",0.7329244069624203
397,Climate-Friendly Transportation,S,S,positive,Outcome,0.6365510613579701
398,Commitment to emissions management for a low-carbon economy,S,S,positive,Commitment,0.14777960049270056
399,Food Safety,E,E,positive,Commitment,0.13130750972420802
400,Keselamatan Kerja,E,S,positive,Commitment,0.840605610522009
401,sustainability performance tracking,G,E,"Positive, positive",Commitment,0.7974254079096547
402,Sustainable Financing,S,G,Positive,Commitment,0.6966490223260907
403,obligasi global,E,E,positive,"Action, Commitment",0.10266890105505988
404,share procurement,S,E,"Negative, negative, neutral",Outcome,0.6343944822398923
405,Environmental Policy,E,S,positive,Action,0.6851125730331872
406,Green office concept,S,E,positive,Commitment,0.28474945872224355
