run_idx,prompt,model,target,company,ok,record_count,json_parse_success,missing_tone_count,missing_tone_rate,schema_drift_count,schema_drift_rate,field_completion_rate
24,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
25,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,21,True,0,0.0,0,0.0,1.0
26,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,0,True,0,0.0,0,0.0,0.0
27,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_9,BEST-SR_2024,True,11,True,0,0.0,0,0.0,1.0
28,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_9,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
29,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_10,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
30,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_10,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
31,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_10,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
32,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_10,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
33,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_10,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
34,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_10,BEST-SR_2024,True,0,True,0,0.0,0,0.0,0.0
35,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_7,icr-sustainability-23-24,True,14,True,0,0.0,0,0.0,1.0
36,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_7,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
37,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_7,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
38,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_7,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
39,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_7,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
40,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_7,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
41,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,8,True,0,0.0,0,0.0,1.0
42,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,0,True,0,0.0,0,0.0,0.0
43,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,12,True,0,0.0,0,0.0,1.0
44,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,0,True,0,0.0,0,0.0,0.0
45,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,0,True,0,0.0,0,0.0,0.0
46,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,0,True,0,0.0,0,0.0,0.0
47,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,0,True,0,0.0,0,0.0,0.0
48,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,17,True,0,0.0,1,0.058823529411764705,0.9901960784313726
49,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,25,True,0,0.0,0,0.0,1.0
50,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
51,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_7,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
52,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_7,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
53,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_7,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
54,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_7,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
55,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_7,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
56,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_7,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
57,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_8,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
58,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_8,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
59,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_8,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
60,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_8,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
61,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_8,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
62,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_8,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
63,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_9,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
64,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_9,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
65,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_9,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
66,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_9,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
67,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_9,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
68,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_9,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
69,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_10,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
70,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_10,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
71,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_10,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
72,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_10,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
73,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_8,icr-sustainability-23-24,True,18,True,0,0.0,0,0.0,1.0
74,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_8,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
75,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_8,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
76,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_8,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
77,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_8,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
78,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,icr-sustainability-23-24_pdf/batch_8,icr-sustainability-23-24,True,0,True,0,0.0,0,0.0,0.0
79,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,14,True,0,0.0,0,0.0,1.0
80,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_21,vktr_ar_sr_2024,True,9,True,0,0.0,0,0.0,1.0
81,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_10,AR SR GTRA 2024,True,5,True,0,0.0,0,0.0,1.0
82,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_10,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
83,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,AR SR GTRA 2024___pdf/batch_11,AR SR GTRA 2024,True,0,True,0,0.0,0,0.0,0.0
84,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,BEST-SR_2024_pdf/batch_11,BEST-SR_2024,True,30,True,0,0.0,0,0.0,1.0
85,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_21,vktr_ar_sr_2024,True,4,True,0,0.0,0,0.0,1.0
86,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_21,vktr_ar_sr_2024,True,0,True,0,0.0,0,0.0,0.0
87,tone_few_shot_indonesian.md,arcee-ai/trinity-large-preview:free,vktr_ar_sr_2024_pdf/batch_21,vktr_ar_sr_2024,True,0,True,0,0.0,0,0.0,0.0
88,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,13,True,0,0.0,0,0.0,1.0
89,tone_few_shot_english.md,arcee-ai/trinity-large-preview:free,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,0,True,0,0.0,0,0.0,0.0
90,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_1,Indonet-Annual-Report-2022,True,2,True,2,1.0,1,0.5,0.6666666666666666
91,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_2,Indonet-Annual-Report-2022,True,2,True,2,1.0,1,0.5,0.6666666666666666
92,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_3,Indonet-Annual-Report-2022,True,2,True,2,1.0,0,0.0,0.6666666666666666
93,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_4,Indonet-Annual-Report-2022,True,1,True,1,1.0,0,0.0,0.6666666666666666
94,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_5,Indonet-Annual-Report-2022,True,2,True,2,1.0,2,1.0,0.6666666666666666
95,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_6,Indonet-Annual-Report-2022,True,3,True,3,1.0,2,0.6666666666666666,0.6666666666666666
96,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_7,Indonet-Annual-Report-2022,True,3,True,3,1.0,2,0.6666666666666666,0.6666666666666666
97,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_8,Indonet-Annual-Report-2022,True,1,True,1,1.0,1,1.0,0.6666666666666666
98,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_9,Indonet-Annual-Report-2022,True,4,True,4,1.0,1,0.25,0.6666666666666666
99,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_10,Indonet-Annual-Report-2022,True,6,True,6,1.0,1,0.16666666666666666,0.6666666666666666
100,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_11,Indonet-Annual-Report-2022,True,2,True,2,1.0,2,1.0,0.6666666666666666
101,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_12,Indonet-Annual-Report-2022,True,4,True,4,1.0,0,0.0,0.6666666666666666
102,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_13,Indonet-Annual-Report-2022,True,10,True,10,1.0,0,0.0,0.6666666666666666
103,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_14,Indonet-Annual-Report-2022,True,3,True,3,1.0,0,0.0,0.6666666666666666
104,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_15,Indonet-Annual-Report-2022,True,2,True,2,1.0,2,1.0,0.6666666666666666
105,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_16,Indonet-Annual-Report-2022,True,2,True,2,1.0,1,0.5,0.6666666666666666
106,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_17,Indonet-Annual-Report-2022,True,1,True,1,1.0,0,0.0,0.6666666666666666
107,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_18,Indonet-Annual-Report-2022,True,4,True,4,1.0,1,0.25,0.6666666666666666
108,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_19,Indonet-Annual-Report-2022,True,5,True,5,1.0,0,0.0,0.6666666666666666
109,data.md,openai/gpt-oss-120b:free,Indonet-Annual-Report-2022_pdf/batch_20,Indonet-Annual-Report-2022,True,1,True,1,1.0,1,1.0,0.6666666666666666
