model,model_path,model family,architecture,model_type,label_id,label,label source,A.4 use guidance
SocialBERT-social,/home/ubuntu/apps/benchmarks/model_download/models/SocialBERT-social,Social ESG binary,RobertaForSequenceClassification,roberta,0,none,config.id2label,Negative class for this ESG pillar detector.
SocialBERT-social,/home/ubuntu/apps/benchmarks/model_download/models/SocialBERT-social,Social ESG binary,RobertaForSequenceClassification,roberta,1,social,config.id2label,Positive ESG pillar detector label.
distilroberta-base-climate-commitment,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-commitment,Climate commitment binary,RobertaForSequenceClassification,roberta,0,no,config.id2label,"Negative commitment class; not equivalent to controversy, risk, or ESG pillar labels."
distilroberta-base-climate-commitment,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-commitment,Climate commitment binary,RobertaForSequenceClassification,roberta,1,yes,config.id2label,Positive climate commitment/action class; compare only with commitment-style tone evidence.
distilroberta-base-climate-d,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-d,ClimateBERT base / masked language model,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
distilroberta-base-climate-d-s,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-d-s,ClimateBERT base / masked language model,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
distilroberta-base-climate-detector,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-detector,Climate detector binary,RobertaForSequenceClassification,roberta,0,no,config.id2label,Non-climate text class; use only for climate relevance filtering.
distilroberta-base-climate-detector,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-detector,Climate detector binary,RobertaForSequenceClassification,roberta,1,yes,config.id2label,"Climate-related text class; use as a filtering/detection step, not a commitment label."
distilroberta-base-climate-f,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-f,ClimateBERT base / masked language model,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
distilroberta-base-climate-s,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-s,ClimateBERT base / masked language model,RobertaForMaskedLM,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
distilroberta-base-climate-specificity,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-specificity,Climate specificity binary,RobertaForSequenceClassification,roberta,0,non,config.id2label,Non-specific climate disclosure class.
distilroberta-base-climate-specificity,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-specificity,Climate specificity binary,RobertaForSequenceClassification,roberta,1,spec,config.id2label,Specific climate disclosure class.
distilroberta-base-climate-tcfd,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-tcfd,TCFD recommendation multiclass,RobertaForSequenceClassification,roberta,0,governance,config.id2label,"TCFD category label; use for climate-disclosure topic routing, not tone agreement."
distilroberta-base-climate-tcfd,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-tcfd,TCFD recommendation multiclass,RobertaForSequenceClassification,roberta,1,risk,config.id2label,"TCFD category label; use for climate-disclosure topic routing, not tone agreement."
distilroberta-base-climate-tcfd,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-tcfd,TCFD recommendation multiclass,RobertaForSequenceClassification,roberta,2,strategy,config.id2label,"TCFD category label; use for climate-disclosure topic routing, not tone agreement."
distilroberta-base-climate-tcfd,/home/ubuntu/apps/benchmarks/model_download/models/distilroberta-base-climate-tcfd,TCFD recommendation multiclass,RobertaForSequenceClassification,roberta,3,metrics,config.id2label,"TCFD category label; use for climate-disclosure topic routing, not tone agreement."
environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Environmental claims binary,RobertaForSequenceClassification,roberta,0,no,config.id2label,No environmental claim detected.
environmental-claims,/home/ubuntu/apps/benchmarks/model_download/models/environmental-claims,Environmental claims binary,RobertaForSequenceClassification,roberta,1,yes,config.id2label,"Environmental-claim class; use as environmental claim evidence, not commitment agreement."
netzero-reduction,/home/ubuntu/apps/benchmarks/model_download/models/netzero-reduction,Net-zero / reduction multiclass,RobertaForSequenceClassification,roberta,0,none,config.id2label,No net-zero or emissions-reduction target detected.
netzero-reduction,/home/ubuntu/apps/benchmarks/model_download/models/netzero-reduction,Net-zero / reduction multiclass,RobertaForSequenceClassification,roberta,1,reduction,config.id2label,Target subtype label for net-zero or emissions-reduction detection.
netzero-reduction,/home/ubuntu/apps/benchmarks/model_download/models/netzero-reduction,Net-zero / reduction multiclass,RobertaForSequenceClassification,roberta,2,net-zero,config.id2label,Target subtype label for net-zero or emissions-reduction detection.
renewable,/home/ubuntu/apps/benchmarks/model_download/models/renewable,Renewable-energy classifier,RobertaForSequenceClassification,roberta,,No classification labels in local config,config has no id2label/label2id,Do not combine with A.4 label analysis unless a classification label map is added.
transition-physical,/home/ubuntu/apps/benchmarks/model_download/models/transition-physical,Transition / physical risk classifier,RobertaForSequenceClassification,roberta,0,LABEL_0,config.id2label,Generic config label; semantic mapping is not stored in the local model config and needs manual documentation before use.
transition-physical,/home/ubuntu/apps/benchmarks/model_download/models/transition-physical,Transition / physical risk classifier,RobertaForSequenceClassification,roberta,1,LABEL_1,config.id2label,Generic config label; semantic mapping is not stored in the local model config and needs manual documentation before use.
transition-physical,/home/ubuntu/apps/benchmarks/model_download/models/transition-physical,Transition / physical risk classifier,RobertaForSequenceClassification,roberta,2,LABEL_2,config.id2label,Generic config label; semantic mapping is not stored in the local model config and needs manual documentation before use.
