record_id,company,prompt,model,text,tone_pred,has_climate_commitment,has_environmental_claims,has_climate_d,labels,agreement_commitment
r006_007,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 15 Februari 2024, Perusahaan membuat Memorandum of Understanding (""MOU"") dengan MHN. Perusahaan dan MHN ingin mengeksplorasi dan mempertimbangkan peluang untuk bekerja sama satu sama lain dan mengembangkan bersama dengan bidang yang lebih luas dari kerja sama timbal balik pada proyek di Indonesia. Jangka waktunya adalah dua (2) tahun sejak tanggal efektif.",commitment,True,True,False,climate-commitment|climate-specificity|climate-sentiment|climate-s|climate-f|strategy|environmental-claims,True
r006_008,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 16 Februari 2024, Perusahaan menandatangani Perjanjian Kerahasiaan dengan MHN. Perusahaan dan MHN sepakat bahwa Perusahaan akan bekerjasama dengan MHN untuk mendiskusikan peluang bisnis atas proyek kendaraan listrik.",action,False,True,True,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,True
r006_009,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 15 November 2024, Perusahaan dan AMP menandatangani Perjanjian Uji Coba Truk Listrik untuk menguji coba satu (1) unit Truk Listrik tipe VKTR Light Duty Truck TLD080F dengan karoseri Hook Lift di lokasi kebun yang disepakati oleh Perusahan dan AMP. Uji coba ini dilakukan untuk mengevaluasi kinerja Truk Listrik dalam operasional di area kerja AMP, dengan periode uji coba selama satu (1) bulan. Kesuksesan uji coba akan ditentukan berdasarkan parameter kinerja yang telah disepakati, dan jika hasil uji coba memuaskan, AMP berpotensi untuk melakukan pembelian lebih lanjut sesuai dengan kesepakatan tertulis.",action,False,True,True,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,True
r006_010,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 5 Agustus 2024, VSI dan BYD telah mengadakan Perjanjian Lisensi Teknis Perakitan KD. Berdasarkan Perjanjian tersebut, VSI sebagai Penerima Lisensi dan BYD sebagai Pemberi Lisensi yang dimana mengatur tentang pemberian Hak Produksi.",action,False,True,True,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,True
r006_011,vktr_ar_sr_2024,tone_chain_of_thought_english.md,arcee-ai/trinity-large-preview:free,"Pada tanggal 30 April 2022, Perusahaan dan Anhui mengadakan perjanjian negosiasi terhadap JAC Electric Vehicle Chassis. Jangka waktu perjanjian ini adalah lima (5) tahun.",action,False,True,True,climate-d|climate-specificity|climate-sentiment|climate-s|climate-tcfd|strategy|environmental-claims,True
r007_000,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Dalam jutaan Rupiah,none,False,False,False,none,True
r007_001,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Pendapatan,none,False,False,False,none,True
r007_002,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Beban Pokok Pendapatan,none,False,False,False,none,True
r007_003,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Laba Bruto,none,False,False,False,none,True
r007_004,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Laba Sebelum Beban Pajak Penghasilan,none,False,False,False,none,True
r007_005,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Laba Neto,none,False,False,False,none,True
r007_006,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Rugi Komprehensif Lain - Neto,none,False,False,False,none,True
r007_007,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Kerugian kredit ekspektasian adalah perkiraan probabilitas-tertimbang dari kerugian kredit.,none,False,False,False,none,True
r007_008,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Kerugian kredit diukur sebagai nilai sekarang dari semua kekurangan penerimaan kas (yaitu perbedaan antara arus kas terutang dari suatu entitas berdasarkan kontrak dan arus kas yang diharapkan untuk diterima).,none,False,False,False,none,True
r007_009,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Kerugian kredit ekspektasian didiskontokan pada tingkat bunga efektif dari aset keuangan tersebut.,none,False,False,False,none,True
r007_010,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Pada saat pengakuan awal, Grup mengukur liabilitas keuangan pada nilai wajar ditambah atau dikurangi, biaya transaksi yang terkait langsung dengan perolehan atau penerbitan liabilitas keuangan.",none,False,False,False,none,True
r007_011,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Grup mengklasifikasikan semua liabilitas keuangannya ke dalam kategori liabilitas keuangan yang diukur pada biaya perolehan diamortisasi.,none,False,False,False,none,True
r007_012,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Setelah pengakuan awal, liabilitas keuangan selanjutnya diukur pada biaya perolehan diamortisasi dengan menggunakan metode suku bunga efektif.",none,False,False,False,none,True
r007_013,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Keuntungan atau kerugian diakui dalam laba rugi ketika liabilitas keuangan tersebut dihentikan pengakuannya atau mengalami penurunan nilai, dan melalui proses amortisasi.",none,False,False,False,none,True
r007_014,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Grup mengeluarkan liabilitas keuangan dari laporan posisi keuangan konsolidasiannya jika, dan hanya jika, kewajiban yang ditetapkan dalam kontrak dilepaskan atau dibatalkan atau kedaluwarsa.",none,False,False,False,none,True
r007_015,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Selisih antara jumlah tercatat liabilitas keuangan yang berakhir atau yang dialihkan ke pihak lain, dan imbalan yang dibayarkan, termasuk aset nonkas yang dialihkan atau liabilitas yang ditanggung diakui dalam laba rugi.",none,False,False,False,none,True
r007_016,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Aset keuangan dan liabilitas keuangan saling hapus dan jumlah netonya dilaporkan dalam laporan posisi keuangan konsolidasian jika, dan hanya jika, saat ini memiliki hak yang berkekuatan hukum untuk melakukan saling hapus atas jumlah yang telah diakui dan terdapat niat untuk menyelesaikannya secara neto, atau untuk merealisasikan aset dan menyelesaikan liabilitasnya secara simultan.",none,False,False,False,none,True
r007_017,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Nilai wajar instrumen keuangan yang diperdagangkan di pasar aktif pada setiap tanggal pelaporan ditentukan dengan mengacu pada kuotasi harga pasar atau kuotasi harga pedagang efek (harga penawaran untuk posisi beli dan harga permintaan untuk posisi jual), tidak termasuk pengurangan apapun untuk biaya transaksi.",none,False,False,False,none,True
r007_018,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Untuk instrumen keuangan yang tidak memiliki pasar aktif, nilai wajar ditentukan dengan menggunakan teknik penilaian.",none,False,False,False,none,True
r007_019,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Teknik penilaian mencakup penggunaan transaksi pasar terkini yang dilakukan secara wajar oleh pihak-pihak yang berkeinginan dan memahami (recent arm's length market transactions), penggunaan nilai wajar terkini instrumen lain yang secara substansial sama, analisa arus kas yang didiskonto, atau model penilaian lain.",none,False,False,False,none,True
r007_020,AR SR GTRA 2024,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Imbalan kerja jangka pendek merupakan kompensasi yang diberikan oleh Grup seperti gaji, tunjangan, bonus dan pembayaran manfaat pensiun, yang diakui pada saat terutang kepada karyawan.",none,False,False,False,none,True
r012_000,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"PTBA berkomitmen mendukung target Pemerintah mencapai nol emisi. PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG).",commitment,True,False,True,climate-commitment|climate-d|climate-specificity,True
r012_001,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Untuk mendukung itu, Perseroan senantiasa melakukan berbagai optimasi menuju pertambangan yang lebih ramah lingkungan. Langkah nyata yang diambil antara lain menerapkan eco, mechanized mining yaitu mengganti peralatan pertambangan yang menggunakan bahan bakar fosil menjadi elektrik, e-mining reporting system yaitu, system pelaporan produksi secara real time dan daring dan berbagai program manajemen karbon di area operasional penambangan.",action,False,True,True,environmental-claims|climate-d|climate-specificity,True
r012_002,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Perseroan juga menciptakan sinergi dan kerja sama dengan berbagai mitra strategis dalam mewujudkan energi bersih seperti pengembangan PLTS, PLTB, tanaman Kaliandra untuk mengurangi emisi karbon dan menjadi simpanan biomassa untuk diolah menjadi wood pellet sebagai bahan campuran co-firing di PLTU serta Carbon Capture, Utilization (CCU) atau penangkapan karbon dioksida dan dikonversi menjadi methanol.",action,False,False,True,climate-action|climate-d|climate-specificity,True
r012_003,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"PTBA berkomitmen mendukung target Pemerintah mencapai Emisi Nol Bersih atau Net Zero Emission pada 2060. Dengan visi menjadi perusahaan energi kelas dunia, PTBA telah memiliki roadmap manajemen karbon hingga 2050, baik bersifat pengurangan emisi (reducing emission sources/ maupun peningkatan penyerapan emisi (increase carbon sinks).",commitment,True,False,True,netzero-reduction|climate-commitment|climate-d,True
r012_004,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Berdasarkan manajemen karbon hingga 2050, terdapat 3 (tiga) pendekatan yang dilakukan PTBA, yaitu dekarbonisasi operasi, reklamasi, dan studi CCU (carbon capture, and utilization). Dengan langkah ini, PTBA optimis dapat menjadi Perusahaan yang berkelanjutan dan terus berkontribusi dalam pencapaian Net Zero Emission.",action,False,False,True,climate-action|climate-d|climate-specificity,True
r012_005,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"PTBA secara aktif telah memberikan pengetahuan kepada karyawan terkait SPP/WBS yang disalurkan melalui medial email serta dipublikasikan melalui sosial media perusahaan. Sejalan dengan hal tersebut, untuk mendukung pemanfaatan SPP/WBS secara optimal, PTBA berkomitmen untuk melindungi pelapor pelanggaran yang beritikad baik.",commitment,False,False,True,governance|climate-d,False
r012_006,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Sebaliknya, Perusahaan akan memberikan sanksi bagi pelapor yang membuka kerahasiaan komunikasi dan informasi yang timbul dalam proses penanganan pelaporan dan pelapor yang menyampaikan laporan yang tidak benar kepada laporan yang bersifat fitnah kepada palsu.",action,False,False,True,governance|climate-d,True
r012_007,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Untuk mendukung proses penanganan laporan pengaduan dan mendapatkan hasil yang maksimal, pelapor wajib menandatangani pakta integritas yang menyatakan akan menjaga kerahasiaan informasi yang timbul dalam proses penanganan pelaporan dan kebenaran atas laporan.",action,False,False,True,governance|climate-d,True
r012_008,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Pelaporan Pelanggaran dapat disampaikan kepada Perusahaan melalui media yang telah disediakan, yaitu: Website : http://www.ptba.co.id Email : spp@bukitasam.co.id Telepon : +62 21 527 4635",action,False,False,True,governance|climate-d,True
r012_009,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Selama tahun 2024, terdapat 5 (lima) laporan dugaan pelanggaran yang masuk melalui SPP/WBS, baik yang disampaikan melalui email, surat, telepon, faksimile, ataupun website Perusahaan.",outcome,False,False,True,governance|climate-d,True
r012_010,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_english.md,arcee-ai/trinity-large-preview:free,"Berdasarkan laporan pengaduan pelanggaran yang masuk ke Perusahaan yaitu sebanyak 5 (lima) pengaduan sampai akhir tahun 2024, seluruh laporan yang masuk tersebut telah selesai ditindaklanjuti.",outcome,False,False,True,governance|climate-d,True
r014_000,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"The ICR has set an ambitious target of achieving net zero across all three scopes by 2040, and achieving an interim reduction of 42% by 2030.",commitment,True,False,False,climate-commitment|netzero-reduction|climate-f,True
r014_001,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19.",action,False,False,False,climate-action|metrics|climate-sentiment,True
r014_002,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"Business travel has seen a further bounce back this year, with increased travel to conferences the ICR has implemented a new policy of no domestic UK flights where a better sustainable alternative is available.",commitment,True,False,False,climate-action|climate-commitment,True
r014_003,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",missing,False,False,False,,True
r014_004,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,The ICR continues to be zero waste directly to landfill and is going out to tender for a new waste contract in 2025.,commitment,True,False,False,climate-action|climate-commitment,True
r014_005,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,Carbon emissions from purchased goods and services have decreased by 6% compared to the baseline year of 2018/19.,outcome,False,False,False,climate-action|metrics|climate-sentiment,True
r014_006,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"The ICR has successfully retained certification to ISO14001, an international standard that sets out the requirements for an environmental management system, since 2013 as part of our integrated management system.",outcome,False,False,False,governance|climate-sentiment,True
r014_007,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,The ICR is proud to be a signatory to this Concordat.,outcome,False,False,False,governance|climate-sentiment,True
r014_008,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"The ICR has set an ambitious target of achieving net zero across all three scopes by 2040, and achieving an interim reduction of 42% by 2030.",commitment,True,False,False,climate-commitment|netzero-reduction|climate-f,True
r014_009,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19.",action,False,False,False,climate-action|metrics|climate-sentiment,True
r014_010,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"Business travel has seen a further bounce back this year, with increased travel to conferences the ICR has implemented a new policy of no domestic UK flights where a better sustainable alternative is available.",commitment,True,False,False,climate-action|climate-commitment,True
r014_011,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",outcome,False,False,False,climate-action|metrics|climate-sentiment,True
r014_012,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,The ICR continues to be zero waste directly to landfill and is going out to tender for a new waste contract in 2025.,commitment,True,False,False,climate-action|climate-commitment,True
r014_013,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,Carbon emissions from purchased goods and services have decreased by 6% compared to the baseline year of 2018/19.,outcome,False,False,False,climate-action|metrics|climate-sentiment,True
r014_014,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"The ICR has successfully retained certification to ISO14001, an international standard that sets out the requirements for an environmental management system, since 2013 as part of our integrated management system.",outcome,False,False,False,governance|climate-sentiment,True
r014_015,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,The ICR is proud to be a signatory to this Concordat.,outcome,False,False,False,governance|climate-sentiment,True
r014_016,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"The ICR has set an ambitious target of achieving net zero across all three scopes by 2040, and achieving an interim reduction of 42% by 2030.",commitment,True,False,False,climate-commitment|netzero-reduction|climate-f,True
r014_017,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19.",action,False,False,False,climate-action|metrics|climate-sentiment,True
r014_018,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"Business travel has seen a further bounce back this year, with increased travel to conferences the ICR has implemented a new policy of no domestic UK flights where a better sustainable alternative is available.",commitment,True,False,False,climate-action|climate-commitment,True
r014_019,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",outcome,False,False,False,climate-action|metrics|climate-sentiment,True
r014_020,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,The ICR continues to be zero waste directly to landfill and is going out to tender for a new waste contract in 2025.,commitment,True,False,False,climate-action|climate-commitment,True
r014_021,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,Carbon emissions from purchased goods and services have decreased by 6% compared to the baseline year of 2018/19.,outcome,False,False,False,climate-action|metrics|climate-sentiment,True
r014_022,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,"The ICR has successfully retained certification to ISO14001, an international standard that sets out the requirements for an environmental management system, since 2013 as part of our integrated management system.",outcome,False,False,False,governance|climate-sentiment,True
r014_023,icr-sustainability-23-24,tone_chain_of_thought_indonesian.md,arcee-ai/trinity-large-preview:free,The ICR is proud to be a signatory to this Concordat.,outcome,False,False,False,governance|climate-sentiment,True
r025_000,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"PTBA berkomitmen mendukung target Pemerintah mencapai nol emisi. PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG).",commitment,True,False,False,climate-commitment|governance,True
r025_001,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,Perseroan senantiasa melakukan berbagai optimasi menuju pertambangan yang lebih ramah lingkungan.,action,False,True,False,environmental-claims,True
r025_002,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Langkah nyata yang diambil antara lain menerapkan eco, mechanized mining yaitu mengganti peralatan pertambangan yang menggunakan bahan bakar fosil menjadi elektrik, e-mining reporting system yaitu, system pelaporan produksi secara real time dan daring dan berbagai program manajemen karbon di area operasional penambangan.",action,False,False,False,climate-specificity|metrics,True
r025_003,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Perseroan juga menciptakan sinergi dan kerja sama dengan berbagai mitra strategis dalam mewujudkan energi bersih seperti pengembangan PLTS, PLTB, tanaman Kaliandra untuk mengurangi emisi karbon dan menjadi simpanan biomassa untuk diolah menjadi wood pellet sebagai bahan campuran co-firing di PLTU serta Carbon Capture, Utilization (CCU) atau penangkapan karbon dioksida dan dikonversi menjadi methanol.",action,False,False,True,climate-specificity|climate-d|opportunity,True
r025_004,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,PTBA berkomitmen mendukung target Pemerintah mencapai Emisi Nol Bersih atau Net Zero Emission pada 2060.,commitment,True,False,False,netzero-reduction|climate-commitment,True
r025_005,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Dengan visi menjadi perusahaan energi kelas dunia, PTBA telah memiliki roadmap manajemen karbon hingga 2050, baik bersifat pengurangan emisi (reducing emission sources/ maupun peningkatan penyerapan emisi (increase carbon sinks).",commitment,False,False,False,climate-f|climate-specificity,False
r025_006,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Berdasarkan manajemen karbon hingga 2050, terdapat 3 (tiga) pendekatan yang dilakukan PTBA, yaitu dekarbonisasi operasi, reklamasi, dan studi CCU (carbon capture, utilization, and utilization).",commitment,False,False,False,climate-specificity,False
r025_007,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,tone_zero_shot_indonesian.md,arcee-ai/trinity-large-preview:free,"Konflik atau benturan kepentingan merupakan salah satu ancaman serius bagi keberlangsungan dan keberlanjutan usaha, termasuk bagi PTBA.",none,False,False,False,governance,True
