review_id,label,tone_pred,sentiment_pred,ontology_path,mapping_method,mapping_confidence,proposed_ontology_path,proposed_t2_label,suggested_rule_tone,suggested_hybrid_tone,suggested_sentiment,review_status,review_notes,text_for_topic
a28_e2e8152c78af,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_a68ae2f22f0e,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_b91ca6a56d41,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_10d05f8db195,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_5a90079c06b5,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_2901eac34b4e,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_0df340b57f20,Endava We Care Sustainability Report 2024_pdf/batch_2/rec_1,Unknown,Neutral,Social → Partnership; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"In FY2024, we made significant progress with our environmental agenda by getting our near and long-term science-based emissions reduction targets, and overall science-based net-zero target, approved by the Science Based Targets initiative (SBTi)."
a28_fc755748f731,Indonet-Annual-Report-2022_pdf/batch_4/rec_17,Outcome,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Action,Action,Neutral,needs_review,,"Pembahasan dan analisis berikut mengacu pada Laporan Keuangan Perseroan untuk tanggal dan tahun yang berakhir pada 31 Desember 2022 yang telah diaudit oleh Kantor Akuntan Publik KAP Tanudiredja, Wibisana, Rintis &amp; Rekan (a member of PwC Indonesia) dalam laporannya tertanggal 28 Maret 2023 yang memberikan opini bahwa laporan keuangan konsolidasian Perseroan menyajikan secara wajar, dalam semua hal yang material dengan perbandingan angka-angka per 31 Desember 2022 yang telah diaudit oleh KAP Purwantono Sungkoro &amp; Surja (a member of EY)."
a28_e05ac132fcad,Indonet-Annual-Report-2022_pdf/batch_4/rec_17,Outcome,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Action,Action,Neutral,needs_review,,"Pembahasan dan analisis berikut mengacu pada Laporan Keuangan Perseroan untuk tanggal dan tahun yang berakhir pada 31 Desember 2022 yang telah diaudit oleh Kantor Akuntan Publik KAP Tanudiredja, Wibisana, Rintis &amp; Rekan (a member of PwC Indonesia) dalam laporannya tertanggal 28 Maret 2023 yang memberikan opini bahwa laporan keuangan konsolidasian Perseroan menyajikan secara wajar, dalam semua hal yang material dengan perbandingan angka-angka per 31 Desember 2022 yang telah diaudit oleh KAP Purwantono Sungkoro &amp; Surja (a member of EY)."
a28_2053426e8914,Indonet-Annual-Report-2022_pdf/batch_4/rec_17,Outcome,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Action,Action,Neutral,needs_review,,"Pembahasan dan analisis berikut mengacu pada Laporan Keuangan Perseroan untuk tanggal dan tahun yang berakhir pada 31 Desember 2022 yang telah diaudit oleh Kantor Akuntan Publik KAP Tanudiredja, Wibisana, Rintis &amp; Rekan (a member of PwC Indonesia) dalam laporannya tertanggal 28 Maret 2023 yang memberikan opini bahwa laporan keuangan konsolidasian Perseroan menyajikan secara wajar, dalam semua hal yang material dengan perbandingan angka-angka per 31 Desember 2022 yang telah diaudit oleh KAP Purwantono Sungkoro &amp; Surja (a member of EY)."
a28_330f470f60cd,Indonet-Annual-Report-2022_pdf/batch_4/rec_18,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Action,Action,Neutral,needs_review,,"The following discussion and analysis refers to the Company's Financial Statements for the dates and year that ended on December 31, 2022 which have been audited by KAP Tanudiredja, Wibisana, Rintis &amp; Partners (a member of PwC Indonesia) in its report on March 28, 2023 with an opinion that the Company's consolidated financial statements have been presented fairly in all material respects with numbers' comparison as of December 31, 2022 which was audited by KAP Purwantono Sungkoro &amp; Surja (a member of EY)."
a28_a042c3f4b93e,Indonet-Annual-Report-2022_pdf/batch_4/rec_17,Outcome,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Action,Action,Neutral,needs_review,,"Pembahasan dan analisis berikut mengacu pada Laporan Keuangan Perseroan untuk tanggal dan tahun yang berakhir pada 31 Desember 2022 yang telah diaudit oleh Kantor Akuntan Publik KAP Tanudiredja, Wibisana, Rintis &amp; Rekan (a member of PwC Indonesia) dalam laporannya tertanggal 28 Maret 2023 yang memberikan opini bahwa laporan keuangan konsolidasian Perseroan menyajikan secara wajar, dalam semua hal yang material dengan perbandingan angka-angka per 31 Desember 2022 yang telah diaudit oleh KAP Purwantono Sungkoro &amp; Surja (a member of EY)."
a28_0f308739eef0,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6/rec_12,Unknown,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Commitment,Commitment,Neutral,needs_review,,"Selain sosialisasi kebijakan dan prosedur antikorupsi, PTBA juga memberi kesempatan kepada Dewan Komisaris, Direksi dan karyawan untuk mengikuti pelatihan tentang antikorupsi."
a28_e4007f42601a,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6/rec_14,Outcome,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Unknown,Unknown,Neutral,needs_review,,Sedangkan karyawan yang telah mengikuti pelatihan antikorupsi sebanyak 372 orang atau 22% dari total karyawan.
a28_6bd8464d8d4a,icr-sustainability-23-24_pdf/batch_8/rec_13,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Neutral,needs_review,,"Water consumption has continued to reduce since the opening of our new research building in 2020/21, the Centre for Cancer Drug Discovery (CCDD) when water consumption peaked."
a28_27d1329e87bc,icr-sustainability-23-24_pdf/batch_8/rec_14,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Neutral,needs_review,,"In 2023/24 our water consumption dropped by 2.5% against our baseline water consumption in 2019/20, and this is a drop of 26.5% against our peak consumption in 2020/21."
a28_e66ebbcfe648,icr-sustainability-23-24_pdf/batch_8/rec_15,Unknown,Neutral,General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Unknown,Unknown,Positive,needs_review,,"The ICR's new Energy Management System also monitors water usage across all ICR buildings and provides alerts if the anticipated consumption changes, allowing our Building and Maintenance team to identify and investigate leaks and increased usage."
a28_4f804636f4c4,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6/rec_4,Unknown,Neutral,Social → Partnership; Environmental → Energy Efficiency; Environmental → Emission Reduction; General → Misc,pattern,0.72,Environmental -> Climate and Emissions,Climate and Emissions,Commitment,Commitment,Neutral,needs_review,,"Perseroan juga menciptakan sinergi dan kerja sama dengan berbagai mitra strategis dalam mewujudkan energi bersih seperti pengembangan PLTS, PLTB, tanaman Kaliandra untuk mengurangi emisi karbon dan menjadi simpanan biomassa untuk diolah menjadi wood pellet sebagai bahan campuran co-firing di PLTU serta Carbon Capture, Utilization (CCU) atau penangkapan karbon dioksida dan dikonversi menjadi methanol."
a28_b5c5c09497c4,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6/rec_10,Outcome,Neutral,General → Misc,pattern,0.72,Social -> Workforce and Community,Workforce and Community,Commitment,Commitment,Neutral,needs_review,,Adapun karyawan yang telah mendapatkan sosialisasi kebijakan dan prosedur antikorupsi sebanyak 1.679 orang atau 100% dari total karyawan.
a28_ca2c5c67212b,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5/rec_12,Action,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Commitment,Commitment,Positive,needs_review,,Komitmen antikorupsi tersebut dikukuhkan dengan beberapa kebijakan di PTBA di antaranya Keputusan Bersama Dewan Komisaris dan Direksi PTBA Nomor:10/SK/PTBA-DEKOM/IX/2020 dan Nomor:400/0100/2020 tentang Penerapan Prinsip dan Praktik Good Corporate Governance Untuk Kebijakan Anti Gratifikasi di PT Bukit Asam Tbk dan Pedoman Pengendalian Gratifikasi BAAGM:03 Nomor Revisi 1 tahun 2024.
a28_5dea056e56e8,BEST-SR_2024_pdf/batch_9/rec_10,Unknown,Neutral,General → Misc,pattern,0.72,Governance -> Ethics and Compliance,Ethics and Compliance,Commitment,Commitment,Neutral,needs_review,,"Performance assessment of the Nomination and Remuneration Committee is carried out by self-assessment, and the results are then reported to the Board of Commissioners as the direct supervisor. Some aspects that form the basis of the assessment include the following: 1. Attendance Rate. 2. Commitment to prioritize the Company's interests. 3. Compliance with the prevailing law and regulations."
