aspect,records,mapped_to_ontology,suggested_path
manajemen energi dan emisi,9,True,GRI 305 Emissions / TCFD Climate -> manajemen energi dan emisi
social-environmental,9,False,
standar pelaporan internasional,9,True,GRI 2 General Disclosures / GRI 3 Material Topics -> standar pelaporan internasional
dampak operasional lingkungan,9,True,GRI 306 Waste / GRI 303 Water -> dampak operasional lingkungan
hazardous waste recycling,8,True,GRI 306 Waste / GRI 303 Water -> hazardous waste recycling
daur ulang limbah b3,8,True,GRI 306 Waste / GRI 303 Water -> daur ulang limbah b3
konsumsi energi terbarukan,8,True,GRI 305 Emissions / TCFD Climate -> konsumsi energi terbarukan
pemberdayaan masyarakat,8,True,GRI 413 Local Communities -> pemberdayaan masyarakat
pengurangan dampak lingkungan,8,True,GRI 306 Waste / GRI 303 Water -> pengurangan dampak lingkungan
target pengurangan emisi,8,True,GRI 305 Emissions / TCFD Climate -> target pengurangan emisi
ketenagakerjaan,8,False,
kinerja keuangan,8,True,GRI 201 Economic Performance -> kinerja keuangan
anti-korupsi,8,True,GRI 205 Anti-corruption / GRI 2 Governance -> anti-korupsi
praktik sosial,8,True,GRI 413 Local Communities -> praktik sosial
proyek energi terbarukan,8,True,GRI 305 Emissions / TCFD Climate -> proyek energi terbarukan
efisiensi teknologi,8,True,Governance / Data and Technology -> efisiensi teknologi
grievance resolution rate,7,False,
penurunan emisi scope 1 & 2,7,True,GRI 305 Emissions / TCFD Climate -> penurunan emisi scope 1 & 2
kolaborasi pemangku kepentingan untuk keberlanjutan,7,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kolaborasi pemangku kepentingan untuk keberlanjutan
energi terbarukan,7,True,GRI 305 Emissions / TCFD Climate -> energi terbarukan
keselamatan dan kesehatan kerja,7,True,GRI 401-404 Employment and Training -> keselamatan dan kesehatan kerja
k3,7,True,GRI 401-404 Employment and Training -> k3
strategi iklim,7,True,GRI 305 Emissions / TCFD Climate -> strategi iklim
akses keuangan masyarakat,7,True,GRI 413 Local Communities -> akses keuangan masyarakat
tata kelola risiko,7,True,GRI 205 Anti-corruption / GRI 2 Governance -> tata kelola risiko
biodiversitas,7,False,
nilai ekonomi berkelanjutan,7,True,GRI 201 Economic Performance -> nilai ekonomi berkelanjutan
efisiensi teknologi digital,7,True,Governance / Data and Technology -> efisiensi teknologi digital
anti-bribery management system certification,6,False,
konsumsi energi,6,True,GRI 305 Emissions / TCFD Climate -> konsumsi energi
total energy consumption,6,True,GRI 305 Emissions / TCFD Climate -> total energy consumption
konsumsi energi total,6,True,GRI 305 Emissions / TCFD Climate -> konsumsi energi total
sertifikasi anti-penyuapan,6,False,
biodiversity,6,True,GRI 304 Biodiversity -> biodiversity
kepatuhan pelaporan keberlanjutan,6,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kepatuhan pelaporan keberlanjutan
environmental-social,6,False,
fokus esg,6,False,
efisiensi lingkungan melalui teknologi,6,True,GRI 306 Waste / GRI 303 Water -> efisiensi lingkungan melalui teknologi
kinerja ekonomi,6,True,GRI 201 Economic Performance -> kinerja ekonomi
financial,6,True,GRI 201 Economic Performance -> financial
strategi keberlanjutan,6,True,GRI 2 General Disclosures / GRI 3 Material Topics -> strategi keberlanjutan
dampak sosial dan lingkungan,6,True,GRI 306 Waste / GRI 303 Water -> dampak sosial dan lingkungan
tata kelola,6,True,GRI 205 Anti-corruption / GRI 2 Governance -> tata kelola
pengelolaan air,6,True,GRI 306 Waste / GRI 303 Water -> pengelolaan air
produk berkelanjutan,6,False,
integrasi keberlanjutan,6,True,GRI 2 General Disclosures / GRI 3 Material Topics -> integrasi keberlanjutan
kepercayaan pemangku kepentingan,6,False,
liputan esg,6,False,
reduksi jejak lingkungan,6,True,GRI 306 Waste / GRI 303 Water -> reduksi jejak lingkungan
pendekatan terintegrasi,6,False,
rakb 2025,6,False,
pendampingan masyarakat,6,True,GRI 413 Local Communities -> pendampingan masyarakat
kerangka pelaporan keberlanjutan,6,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kerangka pelaporan keberlanjutan
standar pelaporan gri,6,True,GRI 2 General Disclosures / GRI 3 Material Topics -> standar pelaporan gri
antikorupsi,5,True,GRI 205 Anti-corruption / GRI 2 Governance -> antikorupsi
ghg emissions reduction,5,True,GRI 305 Emissions / TCFD Climate -> ghg emissions reduction
employee integrity pact,5,True,GRI 401-404 Employment and Training -> employee integrity pact
keberlanjutan lingkungan,5,True,GRI 2 General Disclosures / GRI 3 Material Topics -> keberlanjutan lingkungan
sustainability performance,5,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability performance
inisiatif pengembangan kawasan industri ramah lingkungan,5,True,GRI 306 Waste / GRI 303 Water -> inisiatif pengembangan kawasan industri ramah lingkungan
transformasi menjadi smart eco-industrial park,5,False,
kebijakan keberlanjutan,5,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kebijakan keberlanjutan
praktik ketenagakerjaan dan ham,5,True,GRI 401-404 Employment and Training -> praktik ketenagakerjaan dan ham
ruang lingkup pelaporan esg,5,True,GRI 2 General Disclosures / GRI 3 Material Topics -> ruang lingkup pelaporan esg
whistleblowing,5,False,
manajemen energi,5,True,GRI 305 Emissions / TCFD Climate -> manajemen energi
lisensi sosial,5,True,GRI 413 Local Communities -> lisensi sosial
cakupan pelaporan esg,5,True,GRI 2 General Disclosures / GRI 3 Material Topics -> cakupan pelaporan esg
reduksi emisi dan energi,5,True,GRI 305 Emissions / TCFD Climate -> reduksi emisi dan energi
fokus keberlanjutan,5,True,GRI 2 General Disclosures / GRI 3 Material Topics -> fokus keberlanjutan
pertumbuhan bisnis seimbang,5,False,
environmental-integration,5,False,
fokus laporan esg,5,False,
nilai jangka panjang pemangku kepentingan,5,False,
netzero-reduction,4,True,GRI 305 Emissions / TCFD Climate -> netzero-reduction
konflik kepentingan,4,True,GRI 205 Anti-corruption / GRI 2 Governance -> konflik kepentingan
climate-d-s,4,True,GRI 305 Emissions / TCFD Climate -> climate-d-s
emissions decrease,4,True,GRI 306 Waste / GRI 303 Water -> emissions decrease
keberlanjutan,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> keberlanjutan
pembenahan tata kelola dan manajemen risiko,4,True,GRI 205 Anti-corruption / GRI 2 Governance -> pembenahan tata kelola dan manajemen risiko
penyusunan stream keuangan untuk kinerja keberlanjutan,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> penyusunan stream keuangan untuk kinerja keberlanjutan
kesadaran dampak lingkungan dan sosial,4,True,GRI 306 Waste / GRI 303 Water -> kesadaran dampak lingkungan dan sosial
struktur tata kelola perusahaan,4,True,GRI 205 Anti-corruption / GRI 2 Governance -> struktur tata kelola perusahaan
inisiatif keberlanjutan,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> inisiatif keberlanjutan
strategic vision,4,False,
renewable energy share,4,True,GRI 305 Emissions / TCFD Climate -> renewable energy share
minimasi dampak lingkungan,4,True,GRI 306 Waste / GRI 303 Water -> minimasi dampak lingkungan
sistem pelaporan pelanggaran,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sistem pelaporan pelanggaran
prinsip kehati-hatian dan pengendalian internal,4,True,GRI 205 Anti-corruption / GRI 2 Governance -> prinsip kehati-hatian dan pengendalian internal
prinsip pelaporan gri,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> prinsip pelaporan gri
keanekaragaman hayati,4,True,GRI 304 Biodiversity -> keanekaragaman hayati
integrasi esg,4,False,
sertifikasi lingkungan,4,True,GRI 306 Waste / GRI 303 Water -> sertifikasi lingkungan
komitmen lingkungan,4,True,GRI 306 Waste / GRI 303 Water -> komitmen lingkungan
kinerja operasional,4,False,
environmental_practices,4,False,
tanggung jawab sosial,4,True,GRI 413 Local Communities -> tanggung jawab sosial
lisensi sosial dan rehabilitasi lingkungan,4,True,GRI 306 Waste / GRI 303 Water -> lisensi sosial dan rehabilitasi lingkungan
diversifikasi energi terbarukan,4,True,GRI 305 Emissions / TCFD Climate -> diversifikasi energi terbarukan
kebijakan anti-korupsi,4,True,GRI 205 Anti-corruption / GRI 2 Governance -> kebijakan anti-korupsi
kebijakan lingkungan,4,True,GRI 306 Waste / GRI 303 Water -> kebijakan lingkungan
keselamatan kerja dan hak asasi manusia,4,True,GRI 401-404 Employment and Training -> keselamatan kerja dan hak asasi manusia
strategi bisnis,4,False,
pernyataan prospektif perusahaan,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pernyataan prospektif perusahaan
gcg,4,False,
keseimbangan pelaporan,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> keseimbangan pelaporan
kontribusi keberlanjutan lingkungan,4,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kontribusi keberlanjutan lingkungan
esg_scope,4,True,GRI 305 Emissions / TCFD Climate -> esg_scope
jumlah karyawan,4,True,GRI 401-404 Employment and Training -> jumlah karyawan
water management,3,True,GRI 306 Waste / GRI 303 Water -> water management
hazardous waste recycled,3,True,GRI 306 Waste / GRI 303 Water -> hazardous waste recycled
mendorong solidaritas untuk keberlanjutan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> mendorong solidaritas untuk keberlanjutan
renewable energy consumption percentage,3,True,GRI 305 Emissions / TCFD Climate -> renewable energy consumption percentage
risk,3,False,
gender diversity in board,3,False,
grievance resolution,3,False,
pengelolaan limbah b3,3,True,GRI 306 Waste / GRI 303 Water -> pengelolaan limbah b3
pajak yang dibayarkan,3,False,
royalti yang dibayarkan,3,False,
restrukturisasi utang untuk keberlanjutan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> restrukturisasi utang untuk keberlanjutan
komitmen transformasi bisnis berkelanjutan,3,False,
penciptaan nilai berkelanjutan dan manfaat pemangku kepentingan,3,False,
rasio intensitas emisi,3,True,GRI 305 Emissions / TCFD Climate -> rasio intensitas emisi
penyelesaian keluhan,3,False,
kinerja keberlanjutan 2021,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kinerja keberlanjutan 2021
esg governance,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> esg governance
pertumbuhan bisnis berkelanjutan,3,False,
sustainable value,3,False,
business transformation and sustainability,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> business transformation and sustainability
waste recycling,3,True,GRI 306 Waste / GRI 303 Water -> waste recycling
tata kelola berkelanjutan,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> tata kelola berkelanjutan
tata kelola esg,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> tata kelola esg
ham,3,True,GRI 401-404 Employment and Training -> ham
komitmen integrasi prinsip keberlanjutan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> komitmen integrasi prinsip keberlanjutan
kesinambungan nilai usaha,3,False,
environmental practices,3,False,
pengelolaan sampah,3,True,GRI 306 Waste / GRI 303 Water -> pengelolaan sampah
pengembangan operasi tambang,3,False,
kinerja keberlanjutan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kinerja keberlanjutan
bisnis,3,False,
corporate,3,False,
struktur governance,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> struktur governance
tenaga kerja,3,True,GRI 401-404 Employment and Training -> tenaga kerja
nilai ekonomi,3,True,GRI 201 Economic Performance -> nilai ekonomi
pengadaan,3,False,
sustainability_commitment,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability_commitment
energi terbarukan dan emisi,3,True,GRI 305 Emissions / TCFD Climate -> energi terbarukan dan emisi
energi dan emisi,3,True,GRI 305 Emissions / TCFD Climate -> energi dan emisi
keuangan berkelanjutan,3,True,GRI 201 Economic Performance -> keuangan berkelanjutan
visi keberlanjutan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> visi keberlanjutan
biaya lingkungan,3,True,GRI 306 Waste / GRI 303 Water -> biaya lingkungan
pengelolaan lingkungan,3,True,GRI 306 Waste / GRI 303 Water -> pengelolaan lingkungan
komitmen pertumbuhan bertanggung jawab,3,False,
energi terbarukan dan pengurangan emisi,3,True,GRI 305 Emissions / TCFD Climate -> energi terbarukan dan pengurangan emisi
reduksi intensitas emisi,3,True,GRI 305 Emissions / TCFD Climate -> reduksi intensitas emisi
prinsip tata kelola,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> prinsip tata kelola
dampak sosial,3,True,GRI 413 Local Communities -> dampak sosial
pemulihan lingkungan,3,True,GRI 306 Waste / GRI 303 Water -> pemulihan lingkungan
pengembangan karyawan,3,True,GRI 401-404 Employment and Training -> pengembangan karyawan
governance keberlanjutan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> governance keberlanjutan
pengurangan emisi dan konsumsi energi,3,True,GRI 305 Emissions / TCFD Climate -> pengurangan emisi dan konsumsi energi
kinerja esg keseluruhan,3,True,GRI 201 Economic Performance -> kinerja esg keseluruhan
penanaman mangrove,3,False,
pangsa energi terbarukan,3,True,GRI 305 Emissions / TCFD Climate -> pangsa energi terbarukan
rating esg,3,False,
peluang iklim,3,True,GRI 305 Emissions / TCFD Climate -> peluang iklim
kepatuhan regulasi pelaporan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kepatuhan regulasi pelaporan
pengawasan strategi,3,False,
pengungkapan esg,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pengungkapan esg
regulatory compliance,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> regulatory compliance
praktik sosial dan hak asasi manusia,3,True,GRI 401-404 Employment and Training -> praktik sosial dan hak asasi manusia
keberlanjutan nilai usaha,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> keberlanjutan nilai usaha
peningkatan operasional dan tata kelola,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> peningkatan operasional dan tata kelola
aksesibilitas laporan,3,False,
rencana aksi keuangan berkelanjutan,3,True,GRI 201 Economic Performance -> rencana aksi keuangan berkelanjutan
reporting_framework,3,False,
environmental_integration,3,False,
penerapan gcg,3,False,
fokus pelaporan keberlanjutan,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> fokus pelaporan keberlanjutan
regulatory_compliance,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> regulatory_compliance
liputan esg dalam laporan,3,False,
pelaporan sesuai standar gri,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pelaporan sesuai standar gri
sustainable_growth,3,False,
pendekatan keberlanjutan terintegrasi,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pendekatan keberlanjutan terintegrasi
ekspansi bisnis,3,False,
komitmen gcg,3,False,
komitmen tata kelola,3,True,GRI 205 Anti-corruption / GRI 2 Governance -> komitmen tata kelola
general-disclosure,3,False,
sustainability-contribution,3,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability-contribution
climate,2,True,GRI 305 Emissions / TCFD Climate -> climate
biodiversity impact identification,2,True,GRI 304 Biodiversity -> biodiversity impact identification
energy efficiency measures,2,True,GRI 305 Emissions / TCFD Climate -> energy efficiency measures
solar power project implementation,2,False,
routine air quality & emissions monitoring,2,True,GRI 306 Waste / GRI 303 Water -> routine air quality & emissions monitoring
ambient air & emission source monitoring scope,2,True,GRI 305 Emissions / TCFD Climate -> ambient air & emission source monitoring scope
monitoring parameters reference,2,False,
"monitoring results analysis, reporting & compliance assurance",2,True,"GRI 205 Anti-corruption / GRI 2 Governance -> monitoring results analysis, reporting & compliance assurance"
continuous improvement for air emission reduction,2,True,GRI 306 Waste / GRI 303 Water -> continuous improvement for air emission reduction
plts development with cbess for fossil fuel emission reduction,2,True,GRI 306 Waste / GRI 303 Water -> plts development with cbess for fossil fuel emission reduction
waste management & land reclamation as integrated approach for indirect emission reduction,2,True,GRI 306 Waste / GRI 303 Water -> waste management & land reclamation as integrated approach for indirect emission reduction
solar power project implementation with partner,2,False,
solar power system projected savings & ckb commitment,2,False,
sustainability journey,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability journey
ghg emissions,2,True,GRI 305 Emissions / TCFD Climate -> ghg emissions
environmental compliance,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> environmental compliance
anti-bribery management certification,2,False,
total employees,2,True,GRI 401-404 Employment and Training -> total employees
average training hours per employee,2,True,GRI 401-404 Employment and Training -> average training hours per employee
employee training costs,2,True,GRI 401-404 Employment and Training -> employee training costs
employee integrity pact signing,2,True,GRI 401-404 Employment and Training -> employee integrity pact signing
ecosystem protection and restoration,2,False,
biodiversity monitoring,2,True,GRI 304 Biodiversity -> biodiversity monitoring
restrukturisasi dan transformasi untuk tujuan berkelanjutan,2,False,
dampak lingkungan dan sosial,2,True,GRI 306 Waste / GRI 303 Water -> dampak lingkungan dan sosial
restrukturisasi untuk tujuan berkelanjutan,2,False,
harapan mewujudkan komitmen keberlanjutan melalui solidaritas,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> harapan mewujudkan komitmen keberlanjutan melalui solidaritas
data privacy and workplace safety,2,True,Governance / Data and Technology -> data privacy and workplace safety
environmental commitment,2,False,
biodiversity management award,2,True,GRI 304 Biodiversity -> biodiversity management award
emissions trend,2,True,GRI 306 Waste / GRI 303 Water -> emissions trend
water sources,2,True,GRI 306 Waste / GRI 303 Water -> water sources
penjualan bersih,2,False,
laba bersih,2,False,
pemasok lokal,2,True,GRI 308/414 Supplier Assessment -> pemasok lokal
total karyawan,2,True,GRI 401-404 Employment and Training -> total karyawan
pencegahan benturan kepentingan,2,False,
independensi dewan,2,False,
remunerasi berintegritas,2,False,
implementasi kode etik,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> implementasi kode etik
kebijakan anti-suap,2,False,
komitmen keberlanjutan bisnis,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> komitmen keberlanjutan bisnis
pembenahan tata kelola dan risiko,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> pembenahan tata kelola dan risiko
restrukturisasi dan transformasi untuk keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> restrukturisasi dan transformasi untuk keberlanjutan
solidaritas sebagai prinsip keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> solidaritas sebagai prinsip keberlanjutan
komitmen bertahap untuk keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> komitmen bertahap untuk keberlanjutan
"sustainability performance covering economic, environmental, and social aspects",2,True,"GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability performance covering economic, environmental, and social aspects"
transformasi bisnis berkelanjutan,2,False,
sustainable value claim,2,False,
"comprehensive improvements in finance, operations, governance, and risk management",2,True,"GRI 205 Anti-corruption / GRI 2 Governance -> comprehensive improvements in finance, operations, governance, and risk management"
restructuring and transformation as strategic steps for sustainable long-term goals,2,False,
acid mine drainage prevention,2,False,
konsumsi bahan bakar,2,False,
kepuasan pelanggan,2,False,
follow-up on audit findings for continuous improvement,2,False,
penandatanganan pakta integritas,2,True,Governance / Data and Technology -> penandatanganan pakta integritas
jumlah pemasok lokal,2,True,GRI 308/414 Supplier Assessment -> jumlah pemasok lokal
restrukturisasi utang,2,False,
sinergi budaya dan lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> sinergi budaya dan lingkungan
keragaman gender di dewan komisaris,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> keragaman gender di dewan komisaris
solidarity and environmental and social impacts,2,False,
anti-bribery certification,2,False,
local suppliers,2,True,GRI 308/414 Supplier Assessment -> local suppliers
taxes paid,2,False,
royalties paid,2,False,
net profit,2,True,GRI 201 Economic Performance -> net profit
training investment,2,True,GRI 401-404 Employment and Training -> training investment
technology,2,True,Governance / Data and Technology -> technology
pengurangan konsumsi kertas,2,False,
keanekaragaman gender di dewan,2,True,GRI 304 Biodiversity -> keanekaragaman gender di dewan
penanganan keluhan,2,False,
penciptaan kawasan industri ramah lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> penciptaan kawasan industri ramah lingkungan
pengurangan konsumsi energi,2,True,GRI 305 Emissions / TCFD Climate -> pengurangan konsumsi energi
emission intensity,2,True,GRI 306 Waste / GRI 303 Water -> emission intensity
inisiatif lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> inisiatif lingkungan
