record_id,company,prompt,model,language,tone_pred,sentiment,text_len_words,text,failure_modes
r099_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r099_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,27,"The Company has also established numerous strategic partnerships which will support the business to expand services, enhance customer response times, and maximize its potential growth in Indonesia.",missing_tone|hedged_or_modal_language
r099_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,30,"Through various strategic moves taken to overcome the existing limitations, the Company will continue to seize existing opportunities in order to create added value and sustainable growth in the future.",missing_tone|schema_drift
r099_003,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,25,The Group assesses whether a contract is or contains a lease and recognises right‑of‑use assets and lease liabilities in accordance with accounting standards.,missing_tone
r099_004,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,31,"The Group does not recognise right‑of‑use assets and lease liabilities for short‑term leases or low‑value assets, charging payments to profit or loss on a straight‑line basis.",missing_tone
r099_005,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,30,Actuarial gains and losses arising from experience adjustments and changes in actuarial assumptions are charged or credited to equity in other comprehensive income in the period in which they arise.,missing_tone
r100_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,id,missing,commitment,25,"Dengan adanya Sertifikat Energi Terbarukan yang diperoleh entitas anaknya dari PLN, Perseroan mampu mewujudkan komitmennya dalam mendukung tujuan keberlanjutan para pelanggan melalui penggunaan energi berkelanjutan.",missing_tone|schema_drift|regulatory_or_indonesian_domain_terms
r100_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
r101_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r101_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,22,"The Group's activities are exposed to a variety of financial risks such as foreign exchange risk, credit risk and liquidity risk.",missing_tone
r101_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,28,Risk management is carried out by the management of the Group under the direction of the Board of Directors. The Board of Directors identifies and evaluates financial risks.,missing_tone
r101_003,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,21,Final dividends distributions are recognised as a liability when the dividends are approved in the Company's General Meeting of Shareholders.,missing_tone
r102_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,15,The Group is exposed to credit risk arising from the credit granted to its customers.,missing_tone
r102_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,38,"To mitigate this risk, the Group sends the invoices at the beginning of the month and grants a term to personal and corporate customers up to the date of 20th of every month, respectively, to pay the invoice.",missing_tone
r102_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,43,"If up to those dates, the customers do not pay the invoice, the Group will hold the access given to customers, collection department or the sales representative will contact the corporate customer to ask the continuity of the service given by the Group.",missing_tone
r102_003,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,19,"In addition, receivable balances are monitored on an ongoing basis to reduce the Group's exposure to bad debts.",missing_tone
r102_004,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,61,"As at 31 December 2022, cash in bank and time deposits maintained with PT Bank China Construction Bank Indonesia Tbk, PT Bank Central Asia Tbk, PT Bank KEB Hana Indonesia, PT OCBC NISP Tbk and PT BPR Sarana Utama Multidana represent 36%, 31%, 16%, 4%, and 3% respectively, of total cash and cash equivalent also constitutes a concentration of credit risk.",missing_tone|table_or_numeric_layout
r102_005,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,61,"As at 31 December 2021, cash in bank and time deposits maintained with PT Bank China Construction Bank Indonesia Tbk, PT Bank Central Asia Tbk, PT Bank KEB Hana Indonesia, PT Bank Sahabat Sampoerna and PT BPR Sarana Utama Multidana represent 54%, 22%, 13%, 3%, and 3% respectively, of total cash and cash equivalent also constitutes a concentration of credit risk.",missing_tone|table_or_numeric_layout
r102_006,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,35,The Group maximum exposure to credit risk for each class of financial assets as at 31 December 2022 and 2021 is equal to the carrying amounts as presented in the consolidated statement of financial position.,missing_tone
r102_007,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,20,Liquidity risk is the risk that the Group will encounter difficulty in meeting financial obligations due to shortage of funds.,missing_tone
r102_008,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,42,"The Group manages its liquidity profile to be able to finance its business activities and capital expenditures and to settle its debts by maintaining sufficient cash and cash equivalents, and the availability of funding through an adequate amount of committed credit facilities.",missing_tone
r102_009,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,32,"The Group regularly evaluates its projected and actual cash flow information and continuously assesses conditions in the financial markets for opportunities to pursue fund‑raising initiatives, including bank loans and equity markets.",missing_tone
r103_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r103_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,46,The Group performs a regular review of the impact of interest rate risk to manage the interest rate risk through preparation of regular cash flow projections to monitor the payment of borrowings principal and interest. Interest rates are monitored to minimise negative impact on the Group.,missing_tone
r103_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,59,"The Group's objectives when managing capital are to safeguard the Group's ability to continue as a going concern whilst seeking to maximise benefits to shareholders and other stakeholders. The Group periodically reviews and manages its optimal capital structure and shareholder returns, taking into consideration future capital requirements, profitability, operating cash flows, capital expenditure and strategic investment opportunities.",missing_tone
r104_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,id,missing,commitment,25,"Dengan adanya Sertifikat Energi Terbarukan yang diperoleh entitas anaknya dari PLN, Perseroan mampu mewujudkan komitmennya dalam mendukung tujuan keberlanjutan para pelanggan melalui penggunaan energi berkelanjutan.",missing_tone|schema_drift|regulatory_or_indonesian_domain_terms
r104_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
r105_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r105_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,30,"Through various strategic moves taken to overcome the existing limitations, the Company will continue to seize existing opportunities in order to create added value and sustainable growth in the future.",missing_tone|schema_drift
r106_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r107_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r107_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,32,Based on the Minister of Finance of the Republic of Indonesia regulation No. 150/PMK.010/2018 ... EDG applied for tax holiday facility through online single submission (OSS) on 18 December 2019.,missing_tone|schema_drift
r107_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,46,"On 30 December 2019, the Minister of Finance ... issued Decree ... regarding the granting of corporate income tax reduction facility to EDG ... Up to the completion date of these consolidated financial statements, the application for tax holiday facility is still in the process of review by DGT.",missing_tone
r107_003,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,negative,29,"The Company received Underpayment Tax Assessment Letters ... for VAT and PPh 26, did not pay, filed objections and appeals, which were rejected, and later paid the underpayment with penalties.",missing_tone|passive_voice
r108_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone
r108_001,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,27,"The Company has also established numerous strategic partnerships which will support the business to expand services, enhance customer response times, and maximize its potential growth in Indonesia.",missing_tone|hedged_or_modal_language
r108_002,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,77,"On 15 December 2014, the Company filed a judicial review to the Supreme Court of the Republic of Indonesia. On 23 August 2021, the Company received a copy of Supreme Court Verdict that decided to reject the judicial review on the Tax Court decision letter related to PPh 26. The Company accepted the decision and recorded it as “Other operating expense” account amounted to Rp892 in 2021 consolidated statement of profit or loss and other comprehensive income.",missing_tone
r108_003,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,positive,29,"On 30 November 2021, the Tax Court fully approved the Company’s appeal in the amount of Rp3,485 and subsequently received the cash refund on 27 January 2022.",missing_tone
r108_004,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,neutral,32,"The deferred tax assets for the years ended 31 December 2022 and 2021 are presented in the table, showing amounts related to employee benefits, long‑term liabilities, fixed assets, and other items.",missing_tone|table_or_numeric_layout
r109_000,Indonet-Annual-Report-2022,data.md,openai/gpt-oss-120b:free,en,missing,commitment,33,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",missing_tone|schema_drift
