aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
reporting_framework,3,needs_review,sustainability performance,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> sustainability performance,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
environmental_integration,3,needs_review,inisiatif pengembangan kawasan industri ramah lingkungan,Other,Financial Sustainability,,Manual review -> inisiatif pengembangan kawasan industri ramah lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penerapan gcg,3,needs_review,transformasi menjadi smart eco-industrial park,Other,Financial Sustainability,,Manual review -> transformasi menjadi smart eco-industrial park,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
liputan esg dalam laporan,3,needs_review,praktik ketenagakerjaan dan ham,Other,Human Capital,,GRI 401 Employment 2016 -> praktik ketenagakerjaan dan ham,Generic labor and workforce-practice wording maps to GRI 401 Employment 2016.
sustainable_growth,3,needs_review,whistleblowing,Other,Governance & Ethics,,GRI 205 Anti corruption 2016 -> whistleblowing,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
ekspansi bisnis,3,needs_review,lisensi sosial,Other,Community Relations,,GRI 413 Local Communities -> lisensi sosial,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
komitmen gcg,3,needs_review,cakupan pelaporan esg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> cakupan pelaporan esg,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
general-disclosure,3,needs_review,fokus keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> fokus keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
solar power project implementation,2,needs_review,environmental-integration,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> environmental-integration,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
monitoring parameters reference,2,needs_review,fokus laporan esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> fokus laporan esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
solar power project implementation with partner,2,needs_review,nilai jangka panjang pemangku kepentingan,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> nilai jangka panjang pemangku kepentingan,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
solar power system projected savings & ckb commitment,2,needs_review,netzero-reduction,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> netzero-reduction,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
anti-bribery management certification,2,needs_review,climate-d-s,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> climate-d-s,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
ecosystem protection and restoration,2,needs_review,emissions decrease,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> emissions decrease,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
restrukturisasi dan transformasi untuk tujuan berkelanjutan,2,needs_review,keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
restrukturisasi untuk tujuan berkelanjutan,2,needs_review,pembenahan tata kelola dan manajemen risiko,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pembenahan tata kelola dan manajemen risiko,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
environmental commitment,2,needs_review,kesadaran dampak lingkungan dan sosial,Other,Community Relations,,GRI 413 Local Communities -> kesadaran dampak lingkungan dan sosial,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
penjualan bersih,2,needs_review,struktur tata kelola perusahaan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> struktur tata kelola perusahaan,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
laba bersih,2,needs_review,inisiatif keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> inisiatif keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pencegahan benturan kepentingan,2,needs_review,strategic vision,Other,Financial Sustainability,,Manual review -> strategic vision,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
independensi dewan,2,needs_review,renewable energy share,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> renewable energy share,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
remunerasi berintegritas,2,needs_review,minimasi dampak lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> minimasi dampak lingkungan,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
kebijakan anti-suap,2,needs_review,sistem pelaporan pelanggaran,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> sistem pelaporan pelanggaran,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
transformasi bisnis berkelanjutan,2,needs_review,komitmen lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> komitmen lingkungan,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
sustainable value claim,2,needs_review,kinerja operasional,Other,Financial Sustainability,,Manual review -> kinerja operasional,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
restructuring and transformation as strategic steps for sustainable long-term goals,2,needs_review,environmental_practices,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> environmental_practices,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
acid mine drainage prevention,2,needs_review,tanggung jawab sosial,Other,Community Relations,,GRI 413 Local Communities -> tanggung jawab sosial,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
konsumsi bahan bakar,2,needs_review,lisensi sosial dan rehabilitasi lingkungan,Other,Community Relations,,GRI 413 Local Communities -> lisensi sosial dan rehabilitasi lingkungan,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
kepuasan pelanggan,2,needs_review,diversifikasi energi terbarukan,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> diversifikasi energi terbarukan,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
follow-up on audit findings for continuous improvement,2,needs_review,kebijakan anti-korupsi,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kebijakan anti-korupsi,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
restrukturisasi utang,2,needs_review,kebijakan lingkungan,Other,Financial Sustainability,,Manual review -> kebijakan lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
solidarity and environmental and social impacts,2,needs_review,strategi bisnis,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> strategi bisnis,Generic enterprise risk or strategy wording is best kept at the governance-disclosure level in GRI 2.
anti-bribery certification,2,needs_review,pernyataan prospektif perusahaan,Other,Other,,Manual review -> pernyataan prospektif perusahaan,"Forward-looking statement language is a reporting convention, not a stable GRI ontology node."
taxes paid,2,needs_review,gcg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> gcg,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
royalties paid,2,needs_review,keseimbangan pelaporan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> keseimbangan pelaporan,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
pengurangan konsumsi kertas,2,needs_review,kontribusi keberlanjutan lingkungan,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> kontribusi keberlanjutan lingkungan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
penanganan keluhan,2,needs_review,esg_scope,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> esg_scope,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
keterlibatan pemangku kepentingan,2,needs_review,hazardous waste recycled,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> hazardous waste recycled,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
praktik ketenagakerjaan,2,needs_review,renewable energy consumption percentage,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> renewable energy consumption percentage,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
penanaman pohon,2,needs_review,gender diversity in board,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> gender diversity in board,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
esg-overview,2,needs_review,pajak yang dibayarkan,Other,Financial Sustainability,,GRI 207 Tax 2019 -> pajak yang dibayarkan,Taxes and royalty payments are best anchored to GRI 207 Tax 2019.
pengadaan berkelanjutan,2,needs_review,restrukturisasi utang untuk keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> restrukturisasi utang untuk keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
esg-framework,2,needs_review,komitmen transformasi bisnis berkelanjutan,Other,Financial Sustainability,,Manual review -> komitmen transformasi bisnis berkelanjutan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kebijakan esg,2,needs_review,penciptaan nilai berkelanjutan dan manfaat pemangku kepentingan,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> penciptaan nilai berkelanjutan dan manfaat pemangku kepentingan,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
integrasi esg dalam strategi,2,needs_review,rasio intensitas emisi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> rasio intensitas emisi,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
peluang efisiensi,2,needs_review,penyelesaian keluhan,Other,Financial Sustainability,,Manual review -> penyelesaian keluhan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
risiko regulasi,2,needs_review,kinerja keberlanjutan 2021,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> kinerja keberlanjutan 2021,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
budaya tjsl,2,needs_review,pertumbuhan bisnis berkelanjutan,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> pertumbuhan bisnis berkelanjutan,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
mekanisme pengaduan,2,needs_review,sustainable value,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> sustainable value,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
program alfability,2,needs_review,waste recycling,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> waste recycling,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
materialitas,2,needs_review,tata kelola esg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> tata kelola esg,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
