record_id,run_idx,record_idx,timestamp,model,prompt,target,company,ok,text,text_len_chars,text_len_words,language,aspect,esg,tone_pred,sentiment,sentiment_score,labels,reasoning,suggested_tone,suggestion_source,silver_tone_ground_truth,needs_human_review,schema_drift,has_climate_commitment,has_environmental_claims,has_climate_d,ground_truth_tone,ground_truth_esg,ground_truth_aspect,annotator,review_notes,review_status
r043_008,43,8,2026-04-08T02:53:20.718700Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,vktr_ar_sr_2024_pdf/batch_20,vktr_ar_sr_2024,True,"Pada tanggal 15 Februari 2024, Perusahaan menandatangani Perjanjian Kerahasiaan dengan BTN. Perusahaan dan BTN sepakat untuk mendiskusikan peluang bisnis atas proyek Modal Kerja Usaha untuk sektor Kendaraan Listrik. Dalam hal ini, kedua pihak setuju untuk melakukan analisa atas data-data yang diberikan oleh pihak lainnya yang dianggap diperlukan berkaitan dengan pelaksanaan proyek.",384,52,id,climate-detection,e,commitment,neutral,0.0,climate-d|climate-specificity|climate-commitment|climate-sentiment|climate-s,"Teks menunjukkan komitmen untuk menjajaki peluang bisnis di sektor kendaraan listrik, yang mendukung tujuan transportasi berkelanjutan. Namun, ini masih dalam tahap analisis dan belum menjadi tindakan konkret.",commitment,lexical_or_climate_commitment,commitment,False,False,True,False,True,,,,,,needs_review
r081_003,81,3,2026-04-08T02:58:28.918823Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,AR SR GTRA 2024___pdf/batch_10,AR SR GTRA 2024,True,"Against this backdrop, Grahatrans pursued a clear and deliberate strategy: Achieving Growth Through Improvement. The Company proactively responded to global and domestic uncertainties by diversifying its client base and focusing on sectors less reliant on import-export activities. This strategic shift not only strengthened Grahatrans's operational resilience, but also allowed it to align with broader national growth trends.",427,59,en,strategic adaptation,g,commitment,neutral,0.0,strategy|climate-commitment,"Text describes a strategic commitment to adapt to uncertainties, focusing on resilience and alignment with national trends.",commitment,lexical_or_climate_commitment,commitment,False,False,True,False,False,,,,,,needs_review
r080_003,80,3,2026-04-08T02:57:58.925003Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,vktr_ar_sr_2024_pdf/batch_21,vktr_ar_sr_2024,True,"VKTR continues to serve a vital role in the national effort toward a low-carbon transportation future. This journey goes beyond delivering products, it is about building a system, an ecosystem that responds to the demands of the times with technology, environmental responsibility, and a collective determination to shape a greener and more resilient Indonesia.",361,55,en,climate-detection,e,commitment,neutral,0.5,climate-d|climate-commitment|strategy|opportunity,"The text emphasizes VKTR's ongoing commitment to a low-carbon future and building an ecosystem, indicating a neutral sentiment as it is a future-oriented plan.",commitment,lexical_or_climate_commitment,commitment,False,False,True,False,True,,,,,,needs_review
r048_000,48,0,2026-04-08T02:53:38.374726Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"PTBA berkomitmen mendukung target Pemerintah mencapai nol emisi. PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG).",213,25,mixed,climate-commitment,e,commitment,neutral,0.0,climate-commitment|climate-detection|governance,"Statement expresses commitment to ESG alignment and net-zero target, which is future-oriented without measurable outcome.",outcome,lexical_outcome,commitment,False,False,True,False,False,,,,,,needs_review
r014_002,14,2,2026-04-08T02:44:58.986814Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,"Business travel has seen a further bounce back this year, with increased travel to conferences the ICR has implemented a new policy of no domestic UK flights where a better sustainable alternative is available.",210,34,en,climate-action,e,commitment,neutral,0.0,climate-action|climate-commitment,Describes a new policy commitment but no outcome yet.,commitment,lexical_or_climate_commitment,commitment,False,False,True,False,False,,,,,,needs_review
r084_028,84,28,2026-04-08T02:59:48.386540Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,BEST-SR_2024_pdf/batch_11,BEST-SR_2024,True,"In 2024, the person in charge of sustainability did not participate in various training and/or competency improvement programs related to sustainability.",153,22,en,climate-detection,e,commitment,neutral,0.0,climate-d|climate-commitment|environmental-claims,The text mentions that the person in charge of sustainability did not participate in training programs in 2024. This is a current state without specific outcomes.,commitment,lexical_or_climate_commitment,commitment,False,False,True,True,True,,,,,,needs_review
r041_000,41,0,2026-04-08T02:51:48.065874Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_6,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"PTBA berkomitmen mendukung target Pemerintah mencapai nol emisi. PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG).",213,25,mixed,climate-commitment,e,commitment,neutral,0.0,climate-commitment|climate-d|climate-specificity,"Statement about commitment to net zero emissions and ESG alignment, which is a forward-looking commitment without specific metrics or outcomes.",outcome,lexical_outcome,commitment,False,False,True,False,True,,,,,,needs_review
r014_003,14,3,2026-04-08T02:44:58.986814Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_indonesian.md,icr-sustainability-23-24_pdf/batch_6,icr-sustainability-23-24,True,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",203,33,en,climate-action,missing,missing,missing,,,Describes a small positive outcome in waste emissions reduction.,none,fallback_none,none,True,True,False,False,False,,,,,,needs_review
r092_000,92,0,2026-04-23T03:59:31.098672Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_3,Indonet-Annual-Report-2022,True,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",212,33,en,missing,e,missing,positive,,climate-commitment|environmental-claims,,outcome,lexical_outcome,outcome,True,False,True,True,False,,,,,,needs_review
r104_000,104,0,2026-04-23T04:02:55.647646Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_15,Indonet-Annual-Report-2022,True,"Dengan adanya Sertifikat Energi Terbarukan yang diperoleh entitas anaknya dari PLN, Perseroan mampu mewujudkan komitmennya dalam mendukung tujuan keberlanjutan para pelanggan melalui penggunaan energi berkelanjutan.",215,25,id,missing,e,missing,commitment,,climate-commitment|environmental-claims,,commitment,lexical_or_climate_commitment,commitment,True,True,True,True,False,,,,,,needs_review
r101_002,101,2,2026-04-23T04:01:38.082115Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_12,Indonet-Annual-Report-2022,True,Risk management is carried out by the management of the Group under the direction of the Board of Directors. The Board of Directors identifies and evaluates financial risks.,173,28,en,missing,g,missing,neutral,,governance|risk,,action,lexical_or_climate_action,action,True,False,False,False,False,,,,,,needs_review
r096_000,96,0,2026-04-23T04:00:22.574827Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_7,Indonet-Annual-Report-2022,True,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",212,33,en,missing,e,missing,commitment,,climate-commitment|environmental-claims,,outcome,lexical_outcome,outcome,True,True,True,True,False,,,,,,needs_review
r108_000,108,0,2026-04-23T04:03:57.337683Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_19,Indonet-Annual-Report-2022,True,"With the Renewable Energy Certificate obtained by its subsidiary from PLN, the Company is able to realize its commitment to support the sustainability goals of its customers through the use of sustainable energy.",212,33,en,missing,e,missing,positive,,climate-commitment|environmental-claims|strategy,,outcome,lexical_outcome,outcome,True,False,True,True,False,,,,,,needs_review
r102_001,102,1,2026-04-23T04:02:22.435200Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_13,Indonet-Annual-Report-2022,True,"To mitigate this risk, the Group sends the invoices at the beginning of the month and grants a term to personal and corporate customers up to the date of 20th of every month, respectively, to pay the invoice.",208,38,en,missing,g,missing,positive,,risk|governance,,none,fallback_none,none,True,False,False,False,False,,,,,,needs_review
r105_001,105,1,2026-04-23T04:03:08.801005Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_16,Indonet-Annual-Report-2022,True,"Through various strategic moves taken to overcome the existing limitations, the Company will continue to seize existing opportunities in order to create added value and sustainable growth in the future.",202,30,en,missing,e,missing,commitment,,opportunity,,commitment,lexical_or_climate_commitment,commitment,True,True,False,False,False,,,,,,needs_review
r095_002,95,2,2026-04-23T04:00:06.410618Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_6,Indonet-Annual-Report-2022,True,"Through various strategic moves taken to overcome the existing limitations, the Company will continue to seize existing opportunities in order to create added value and sustainable growth in the future.",202,30,en,missing,g,missing,commitment,,opportunity|strategy,,commitment,lexical_or_climate_commitment,commitment,True,True,False,False,False,,,,,,needs_review
r102_007,102,7,2026-04-23T04:02:22.435200Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_13,Indonet-Annual-Report-2022,True,Liquidity risk is the risk that the Group will encounter difficulty in meeting financial obligations due to shortage of funds.,126,20,en,missing,g,missing,neutral,,risk,,commitment,lexical_or_climate_commitment,commitment,True,False,False,False,False,,,,,,needs_review
r102_000,102,0,2026-04-23T04:02:22.435200Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_13,Indonet-Annual-Report-2022,True,The Group is exposed to credit risk arising from the credit granted to its customers.,85,15,en,missing,g,missing,neutral,,risk,,none,fallback_none,none,True,False,False,False,False,,,,,,needs_review
r108_004,108,4,2026-04-23T04:03:57.337683Z,openai/gpt-oss-120b:free,data.md,Indonet-Annual-Report-2022_pdf/batch_19,Indonet-Annual-Report-2022,True,"The deferred tax assets for the years ended 31 December 2022 and 2021 are presented in the table, showing amounts related to employee benefits, long‑term liabilities, fixed assets, and other items.",197,32,en,missing,g,missing,neutral,,metrics,,none,fallback_none,none,True,False,False,False,False,,,,,,needs_review
r049_008,49,8,2026-04-08T02:55:09.053205Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,"In the case of sale and leaseback results in a finance lease, this is to be treated as two separate transactions, i.e. sale and lease.",134,26,en,governance,g,none,neutral,0.0,governance,"Text describes accounting policy for sale and leaseback transactions, which is a governance-related disclosure without sentiment.",none,fallback_none,none,False,False,False,False,False,,,,,,needs_review
r049_021,49,21,2026-04-08T02:55:09.053205Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,Determining functional currency,31,3,unknown,governance,g,none,neutral,0.0,governance,"Text introduces the topic of determining functional currency, which is a governance-related disclosure without sentiment.",none,fallback_none,none,False,False,False,False,False,,,,,,needs_review
r049_001,49,1,2026-04-08T02:55:09.053205Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,"Conflicts in Eastern Europe and the Middle East triggered supply chain instability and price surges across key commodities, prompting central banks around the world to raise benchmark interest rates in an effort to control inflation.",233,35,en,climate-detection,e,none,negative,-1.0,climate-d|climate-sentiment|climate-s,"Text highlights climate-related conflicts causing supply chain instability and economic impacts, reflecting negative sentiment toward climate risks.",none,fallback_none,none,False,False,False,False,True,,,,,,needs_review
r049_024,49,24,2026-04-08T02:55:09.053205Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,"that mainly influences labor, material and other costs of providing goods or services; and",90,14,en,governance,g,none,neutral,0.0,governance,"Text describes a factor in determining functional currency, which is a governance-related disclosure without sentiment.",none,fallback_none,none,False,False,False,False,False,,,,,,needs_review
r048_010,48,10,2026-04-08T02:53:38.374726Z,arcee-ai/trinity-large-preview:free,tone_chain_of_thought_english.md,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,True,"Merujuk Undang-Undang No. 31 Tahun 1999 jo. Undang-Undang No. 20 Tahun 2001 tentang Pemberantasan Tindak Pidana Korupsi, pengertian korupsi mencakup perbuatan melawan hukum, memperkaya diri orang/badan lain yang merugikan keuangan/perekonomian negara (pasal 2); menyalahgunakan kewenangan karena jabatan/kedudukan yang dapat merugikan keuangan/kedudukan yang dapat merugikan keuangan/perekonomian negara (pasal 3); kelompok delik penyuapan (pasal 5,6, dan 11); kelompok delik penggelapan dalam jabatan (pasal 8, 9, dan 10); delik pemerasan dalam jabatan (pasal 12); delik yang berkaitan dengan pemborongan (pasal 7); hingga delik gratifikasi (pasal 12B dan 12C).",662,93,id,governance,g,none,neutral,0.0,governance|none,Provides legal definition of corruption without expressing sentiment or action.,commitment,lexical_or_climate_commitment,none,False,False,False,False,False,,,,,,needs_review
r049_018,49,18,2026-04-08T02:55:09.053205Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,Existing circumstances about future developments may change due to market changes or circumstances arising beyond the control of the Group.,139,20,en,governance,g,none,neutral,0.0,governance,"Text describes the potential for changes in future developments, which is a governance-related disclosure without sentiment.",none,fallback_none,none,False,False,False,False,False,,,,,,needs_review
r007_012,7,12,2026-04-08T02:44:38.216582Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_indonesian.md,AR SR GTRA 2024___pdf/batch_4,AR SR GTRA 2024,True,"Setelah pengakuan awal, liabilitas keuangan selanjutnya diukur pada biaya perolehan diamortisasi dengan menggunakan metode suku bunga efektif.",142,17,id,none,none,none,none,0.0,none,"This is an accounting policy statement, not related to ESG.",outcome,lexical_outcome,none,False,False,False,False,False,,,,,,needs_review
r007_019,7,19,2026-04-08T02:44:38.216582Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_indonesian.md,AR SR GTRA 2024___pdf/batch_4,AR SR GTRA 2024,True,"Teknik penilaian mencakup penggunaan transaksi pasar terkini yang dilakukan secara wajar oleh pihak-pihak yang berkeinginan dan memahami (recent arm's length market transactions), penggunaan nilai wajar terkini instrumen lain yang secara substansial sama, analisa arus kas yang didiskonto, atau model penilaian lain.",316,43,id,none,none,none,none,0.0,none,"This is an accounting policy statement, not related to ESG.",none,label_none,none,False,False,False,False,False,,,,,,needs_review
r007_004,7,4,2026-04-08T02:44:38.216582Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_indonesian.md,AR SR GTRA 2024___pdf/batch_4,AR SR GTRA 2024,True,Laba Sebelum Beban Pajak Penghasilan,36,5,unknown,none,none,none,none,0.0,none,"This is a financial term for profit before income tax expense, not related to ESG.",none,label_none,none,False,False,False,False,False,,,,,,needs_review
r049_000,49,0,2026-04-08T02:55:09.053205Z,arcee-ai/trinity-large-preview:free,tone_zero_shot_english.md,AR SR GTRA 2024___pdf/batch_6,AR SR GTRA 2024,True,"Global dynamics in 2024 remained complex and uncertain, driven by rising geopolitical tensions and disruptions in commodity supply chains.",138,19,en,climate-detection,e,none,negative,-1.0,climate-d|climate-sentiment|climate-s,"Text discusses climate-related disruptions and geopolitical tensions affecting supply chains, indicating negative sentiment toward climate risks.",none,fallback_none,none,False,False,False,False,True,,,,,,needs_review
