:ID,:LABEL,name,text,timestamp,target,mapped_to_ontology,records
prompt:tone_chain_of_thought_english_md,Prompt,tone_chain_of_thought_english.md,,,,,
aspect:climate_detection,Aspect,climate-detection,,,,,
climatelabel:climate_commitment,ClimateLabel,climate-commitment,,,,,
climatelabel:climate_sentiment,ClimateLabel,climate-sentiment,,,,,
climatelabel:climate_s,ClimateLabel,climate-s,,,,,
climatelabel:climate_f,ClimateLabel,climate-f,,,,,
climatelabel:strategy,ClimateLabel,strategy,,,,,
record:r006_001,ESGRecord,r006_001,"Keberhasilan pembangunan fasilitas perakitan kendaraan listrik di Magelang menjadi tonggak penting yang mencerminkan langkah nyata industrialisasi hijau di tingkat nasional. Dengan mengedepankan standar lokal dan pemberdayaan rantai pasok dalam negeri, VKTR memperluas cakupan dampak transformasi, dari aspek teknologi hingga penciptaan nilai ekonomi dan sosial.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
tone:outcome,Tone,outcome,,,,,
sentiment:positive,Sentiment,positive,,,,,
climatelabel:climate_tcfd,ClimateLabel,climate-tcfd,,,,,
record:r006_002,ESGRecord,r006_002,Komitmen ini diperkuat melalui pengembangan beragam prototipe dan kolaborasi lintas industri yang mendukung kecepatan adopsi serta kustomisasi kendaraan sesuai kebutuhan sektor-sektor strategis.,2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_003,ESGRecord,r006_003,"VKTR terus menjadi bagian penting dari solusi nasional menuju masa depan transportasi rendah karbon. Perjalanan ini bukan sekadar menghadirkan produk, tetapi membentuk sistem, sebuah ekosistem yang menjawab kebutuhan zaman dengan teknologi, tanggung jawab lingkungan, dan tekad kolektif membangun Indonesia yang lebih hijau dan tangguh.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_004,ESGRecord,r006_004,"Pada tanggal 10 Oktober 2023, Perusahaan dan MB menandatangani perjanjian kerja sama antara BA, Entitas Anak, dan MB, dimana Perusahaan akan menyediakan jasa perawatan, perbaikan dan penyediaan suku cadang untuk BYD yang dibutuhkan oleh Kendaraan Bus Listrik BYD K9 LF milik MB. Perusahaan menyatakan bersedia untuk bekerja sama dengan MB dalam hal perawatan, perbaikan, dan penyediaan suku cadang untuk Kendaraan Bus Listrik BYD K9 LF.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_005,ESGRecord,r006_005,"Pada tanggal 27 September 2024, Perusahaan menandatangani Surat Perjanjian Kerahasiaan (NDA) dengan PT Agro Multi Persada. NDA tersebut berisi bahwa kedua perusahaan sepakat sehubungan adanya kemungkinan kerja sama dalam penggunaan truk dan bus listrik milik perusahaan oleh AMP untuk tujuan uji coba kendaraan listrik Perusahaan.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_006,ESGRecord,r006_006,"Pada tanggal 1 Juni 2024, Perusahaan menandatangani Memorandum of Understanding dengan WBKM. Perusahaan, sebagai perusahaan yang bergerak di bidang perdagangan dan manufaktur kendaraan listrik, dan WBKM, sebagai Perusahaan yang menyediakan angkutan umum, ingin mengeksplorasi dan mempertimbangkan peluang untuk melakukan kerjasama timbal balik yang lebih luas pada proyek di Indonesia.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_007,ESGRecord,r006_007,"Pada tanggal 15 Februari 2024, Perusahaan membuat Memorandum of Understanding (""MOU"") dengan MHN. Perusahaan dan MHN ingin mengeksplorasi dan mempertimbangkan peluang untuk bekerja sama satu sama lain dan mengembangkan bersama dengan bidang yang lebih luas dari kerja sama timbal balik pada proyek di Indonesia. Jangka waktunya adalah dua (2) tahun sejak tanggal efektif.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_008,ESGRecord,r006_008,"Pada tanggal 16 Februari 2024, Perusahaan menandatangani Perjanjian Kerahasiaan dengan MHN. Perusahaan dan MHN sepakat bahwa Perusahaan akan bekerjasama dengan MHN untuk mendiskusikan peluang bisnis atas proyek kendaraan listrik.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_009,ESGRecord,r006_009,"Pada tanggal 15 November 2024, Perusahaan dan AMP menandatangani Perjanjian Uji Coba Truk Listrik untuk menguji coba satu (1) unit Truk Listrik tipe VKTR Light Duty Truck TLD080F dengan karoseri Hook Lift di lokasi kebun yang disepakati oleh Perusahan dan AMP. Uji coba ini dilakukan untuk mengevaluasi kinerja Truk Listrik dalam operasional di area kerja AMP, dengan periode uji coba selama satu (1) bulan. Kesuksesan uji coba akan ditentukan berdasarkan parameter kinerja yang telah disepakati, dan jika hasil uji coba memuaskan, AMP berpotensi untuk melakukan pembelian lebih lanjut sesuai dengan kesepakatan tertulis.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_010,ESGRecord,r006_010,"Pada tanggal 5 Agustus 2024, VSI dan BYD telah mengadakan Perjanjian Lisensi Teknis Perakitan KD. Berdasarkan Perjanjian tersebut, VSI sebagai Penerima Lisensi dan BYD sebagai Pemberi Lisensi yang dimana mengatur tentang pemberian Hak Produksi.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r006_011,ESGRecord,r006_011,"Pada tanggal 30 April 2022, Perusahaan dan Anhui mengadakan perjanjian negosiasi terhadap JAC Electric Vehicle Chassis. Jangka waktu perjanjian ini adalah lima (5) tahun.",2026-04-08T02:41:29.425964Z,vktr_ar_sr_2024_pdf/batch_20,,
record:r007_000,ESGRecord,r007_000,Dalam jutaan Rupiah,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
company:ar_sr_gtra_2024,Company,AR SR GTRA 2024,,,,,
prompt:tone_zero_shot_indonesian_md,Prompt,tone_zero_shot_indonesian.md,,,,,
aspect:none,Aspect,none,,,,,
esgpillar:none,ESGPillar,none,,,,,
tone:none,Tone,none,,,,,
sentiment:none,Sentiment,none,,,,,
climatelabel:none,ClimateLabel,none,,,,,
record:r007_001,ESGRecord,r007_001,Pendapatan,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_002,ESGRecord,r007_002,Beban Pokok Pendapatan,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_003,ESGRecord,r007_003,Laba Bruto,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_004,ESGRecord,r007_004,Laba Sebelum Beban Pajak Penghasilan,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_005,ESGRecord,r007_005,Laba Neto,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_006,ESGRecord,r007_006,Rugi Komprehensif Lain - Neto,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_007,ESGRecord,r007_007,Kerugian kredit ekspektasian adalah perkiraan probabilitas-tertimbang dari kerugian kredit.,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_008,ESGRecord,r007_008,Kerugian kredit diukur sebagai nilai sekarang dari semua kekurangan penerimaan kas (yaitu perbedaan antara arus kas terutang dari suatu entitas berdasarkan kontrak dan arus kas yang diharapkan untuk diterima).,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_009,ESGRecord,r007_009,Kerugian kredit ekspektasian didiskontokan pada tingkat bunga efektif dari aset keuangan tersebut.,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_010,ESGRecord,r007_010,"Pada saat pengakuan awal, Grup mengukur liabilitas keuangan pada nilai wajar ditambah atau dikurangi, biaya transaksi yang terkait langsung dengan perolehan atau penerbitan liabilitas keuangan.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_011,ESGRecord,r007_011,Grup mengklasifikasikan semua liabilitas keuangannya ke dalam kategori liabilitas keuangan yang diukur pada biaya perolehan diamortisasi.,2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_012,ESGRecord,r007_012,"Setelah pengakuan awal, liabilitas keuangan selanjutnya diukur pada biaya perolehan diamortisasi dengan menggunakan metode suku bunga efektif.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_013,ESGRecord,r007_013,"Keuntungan atau kerugian diakui dalam laba rugi ketika liabilitas keuangan tersebut dihentikan pengakuannya atau mengalami penurunan nilai, dan melalui proses amortisasi.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_014,ESGRecord,r007_014,"Grup mengeluarkan liabilitas keuangan dari laporan posisi keuangan konsolidasiannya jika, dan hanya jika, kewajiban yang ditetapkan dalam kontrak dilepaskan atau dibatalkan atau kedaluwarsa.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_015,ESGRecord,r007_015,"Selisih antara jumlah tercatat liabilitas keuangan yang berakhir atau yang dialihkan ke pihak lain, dan imbalan yang dibayarkan, termasuk aset nonkas yang dialihkan atau liabilitas yang ditanggung diakui dalam laba rugi.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_016,ESGRecord,r007_016,"Aset keuangan dan liabilitas keuangan saling hapus dan jumlah netonya dilaporkan dalam laporan posisi keuangan konsolidasian jika, dan hanya jika, saat ini memiliki hak yang berkekuatan hukum untuk melakukan saling hapus atas jumlah yang telah diakui dan terdapat niat untuk menyelesaikannya secara neto, atau untuk merealisasikan aset dan menyelesaikan liabilitasnya secara simultan.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_017,ESGRecord,r007_017,"Nilai wajar instrumen keuangan yang diperdagangkan di pasar aktif pada setiap tanggal pelaporan ditentukan dengan mengacu pada kuotasi harga pasar atau kuotasi harga pedagang efek (harga penawaran untuk posisi beli dan harga permintaan untuk posisi jual), tidak termasuk pengurangan apapun untuk biaya transaksi.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_018,ESGRecord,r007_018,"Untuk instrumen keuangan yang tidak memiliki pasar aktif, nilai wajar ditentukan dengan menggunakan teknik penilaian.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_019,ESGRecord,r007_019,"Teknik penilaian mencakup penggunaan transaksi pasar terkini yang dilakukan secara wajar oleh pihak-pihak yang berkeinginan dan memahami (recent arm's length market transactions), penggunaan nilai wajar terkini instrumen lain yang secara substansial sama, analisa arus kas yang didiskonto, atau model penilaian lain.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r007_020,ESGRecord,r007_020,"Imbalan kerja jangka pendek merupakan kompensasi yang diberikan oleh Grup seperti gaji, tunjangan, bonus dan pembayaran manfaat pensiun, yang diakui pada saat terutang kepada karyawan.",2026-04-08T02:44:38.216582Z,AR SR GTRA 2024___pdf/batch_4,,
record:r012_000,ESGRecord,r012_000,"PTBA berkomitmen mendukung target Pemerintah mencapai nol emisi. PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG).",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
company:20250526113828_2025_05_26ptba_laporan_berkelanjutan113825,Company,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825,,,,,
aspect:climate_commitment,Aspect,climate-commitment,,,,,
record:r012_001,ESGRecord,r012_001,"Untuk mendukung itu, Perseroan senantiasa melakukan berbagai optimasi menuju pertambangan yang lebih ramah lingkungan. Langkah nyata yang diambil antara lain menerapkan eco, mechanized mining yaitu mengganti peralatan pertambangan yang menggunakan bahan bakar fosil menjadi elektrik, e-mining reporting system yaitu, system pelaporan produksi secara real time dan daring dan berbagai program manajemen karbon di area operasional penambangan.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r012_002,ESGRecord,r012_002,"Perseroan juga menciptakan sinergi dan kerja sama dengan berbagai mitra strategis dalam mewujudkan energi bersih seperti pengembangan PLTS, PLTB, tanaman Kaliandra untuk mengurangi emisi karbon dan menjadi simpanan biomassa untuk diolah menjadi wood pellet sebagai bahan campuran co-firing di PLTU serta Carbon Capture, Utilization (CCU) atau penangkapan karbon dioksida dan dikonversi menjadi methanol.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
aspect:climate_action,Aspect,climate-action,,,,,
climatelabel:climate_action,ClimateLabel,climate-action,,,,,
record:r012_003,ESGRecord,r012_003,"PTBA berkomitmen mendukung target Pemerintah mencapai Emisi Nol Bersih atau Net Zero Emission pada 2060. Dengan visi menjadi perusahaan energi kelas dunia, PTBA telah memiliki roadmap manajemen karbon hingga 2050, baik bersifat pengurangan emisi (reducing emission sources/ maupun peningkatan penyerapan emisi (increase carbon sinks).",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
aspect:netzero_reduction,Aspect,netzero-reduction,,,,,
climatelabel:netzero_reduction,ClimateLabel,netzero-reduction,,,,,
record:r012_004,ESGRecord,r012_004,"Berdasarkan manajemen karbon hingga 2050, terdapat 3 (tiga) pendekatan yang dilakukan PTBA, yaitu dekarbonisasi operasi, reklamasi, dan studi CCU (carbon capture, and utilization). Dengan langkah ini, PTBA optimis dapat menjadi Perusahaan yang berkelanjutan dan terus berkontribusi dalam pencapaian Net Zero Emission.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r012_005,ESGRecord,r012_005,"PTBA secara aktif telah memberikan pengetahuan kepada karyawan terkait SPP/WBS yang disalurkan melalui medial email serta dipublikasikan melalui sosial media perusahaan. Sejalan dengan hal tersebut, untuk mendukung pemanfaatan SPP/WBS secara optimal, PTBA berkomitmen untuk melindungi pelapor pelanggaran yang beritikad baik.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r012_006,ESGRecord,r012_006,"Sebaliknya, Perusahaan akan memberikan sanksi bagi pelapor yang membuka kerahasiaan komunikasi dan informasi yang timbul dalam proses penanganan pelaporan dan pelapor yang menyampaikan laporan yang tidak benar kepada laporan yang bersifat fitnah kepada palsu.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r012_007,ESGRecord,r012_007,"Untuk mendukung proses penanganan laporan pengaduan dan mendapatkan hasil yang maksimal, pelapor wajib menandatangani pakta integritas yang menyatakan akan menjaga kerahasiaan informasi yang timbul dalam proses penanganan pelaporan dan kebenaran atas laporan.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r012_008,ESGRecord,r012_008,"Pelaporan Pelanggaran dapat disampaikan kepada Perusahaan melalui media yang telah disediakan, yaitu: Website : http://www.ptba.co.id Email : spp@bukitasam.co.id Telepon : +62 21 527 4635",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r012_009,ESGRecord,r012_009,"Selama tahun 2024, terdapat 5 (lima) laporan dugaan pelanggaran yang masuk melalui SPP/WBS, baik yang disampaikan melalui email, surat, telepon, faksimile, ataupun website Perusahaan.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r012_010,ESGRecord,r012_010,"Berdasarkan laporan pengaduan pelanggaran yang masuk ke Perusahaan yaitu sebanyak 5 (lima) pengaduan sampai akhir tahun 2024, seluruh laporan yang masuk tersebut telah selesai ditindaklanjuti.",2026-04-08T02:44:57.770079Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_4,,
record:r014_000,ESGRecord,r014_000,"The ICR has set an ambitious target of achieving net zero across all three scopes by 2040, and achieving an interim reduction of 42% by 2030.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
company:icr_sustainability_23_24,Company,icr-sustainability-23-24,,,,,
prompt:tone_chain_of_thought_indonesian_md,Prompt,tone_chain_of_thought_indonesian.md,,,,,
record:r014_001,ESGRecord,r014_001,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
climatelabel:metrics,ClimateLabel,metrics,,,,,
record:r014_002,ESGRecord,r014_002,"Business travel has seen a further bounce back this year, with increased travel to conferences the ICR has implemented a new policy of no domestic UK flights where a better sustainable alternative is available.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_003,ESGRecord,r014_003,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
esgpillar:missing,ESGPillar,missing,,,,,
tone:missing,Tone,missing,,,,,
sentiment:missing,Sentiment,missing,,,,,
record:r014_004,ESGRecord,r014_004,The ICR continues to be zero waste directly to landfill and is going out to tender for a new waste contract in 2025.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_005,ESGRecord,r014_005,Carbon emissions from purchased goods and services have decreased by 6% compared to the baseline year of 2018/19.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_006,ESGRecord,r014_006,"The ICR has successfully retained certification to ISO14001, an international standard that sets out the requirements for an environmental management system, since 2013 as part of our integrated management system.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_007,ESGRecord,r014_007,The ICR is proud to be a signatory to this Concordat.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_008,ESGRecord,r014_008,"The ICR has set an ambitious target of achieving net zero across all three scopes by 2040, and achieving an interim reduction of 42% by 2030.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_009,ESGRecord,r014_009,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_010,ESGRecord,r014_010,"Business travel has seen a further bounce back this year, with increased travel to conferences the ICR has implemented a new policy of no domestic UK flights where a better sustainable alternative is available.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_011,ESGRecord,r014_011,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_012,ESGRecord,r014_012,The ICR continues to be zero waste directly to landfill and is going out to tender for a new waste contract in 2025.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_013,ESGRecord,r014_013,Carbon emissions from purchased goods and services have decreased by 6% compared to the baseline year of 2018/19.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_014,ESGRecord,r014_014,"The ICR has successfully retained certification to ISO14001, an international standard that sets out the requirements for an environmental management system, since 2013 as part of our integrated management system.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_015,ESGRecord,r014_015,The ICR is proud to be a signatory to this Concordat.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_016,ESGRecord,r014_016,"The ICR has set an ambitious target of achieving net zero across all three scopes by 2040, and achieving an interim reduction of 42% by 2030.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_017,ESGRecord,r014_017,"Thanks to activities such as a new energy management system and research led energy saving behaviours, the ICR's emissions from direct sources (Scope 1) and indirect sources (Scope 2) have decreased by 16% since 2018/19.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_018,ESGRecord,r014_018,"Business travel has seen a further bounce back this year, with increased travel to conferences the ICR has implemented a new policy of no domestic UK flights where a better sustainable alternative is available.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_019,ESGRecord,r014_019,"There has been small decrease in waste emissions compared to the baseline year of 2018/29, with fluctuations in waste volumes in the intervening years due to the pandemic and large construction projects.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_020,ESGRecord,r014_020,The ICR continues to be zero waste directly to landfill and is going out to tender for a new waste contract in 2025.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_021,ESGRecord,r014_021,Carbon emissions from purchased goods and services have decreased by 6% compared to the baseline year of 2018/19.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_022,ESGRecord,r014_022,"The ICR has successfully retained certification to ISO14001, an international standard that sets out the requirements for an environmental management system, since 2013 as part of our integrated management system.",2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r014_023,ESGRecord,r014_023,The ICR is proud to be a signatory to this Concordat.,2026-04-08T02:44:58.986814Z,icr-sustainability-23-24_pdf/batch_6,,
record:r025_000,ESGRecord,r025_000,"PTBA berkomitmen mendukung target Pemerintah mencapai nol emisi. PTBA juga berkomitmen untuk menjalankan bisnis berkelanjutan dengan menerapkan keselarasan antara aspek Environmental, Social, and Governance (ESG).",2026-04-08T02:46:34.453805Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,,
aspect:komitmen_esg,Aspect,komitmen esg,,,,,
record:r025_001,ESGRecord,r025_001,Perseroan senantiasa melakukan berbagai optimasi menuju pertambangan yang lebih ramah lingkungan.,2026-04-08T02:46:34.453805Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,,
aspect:optimasi_lingkungan,Aspect,optimasi lingkungan,,,,,
record:r025_002,ESGRecord,r025_002,"Langkah nyata yang diambil antara lain menerapkan eco, mechanized mining yaitu mengganti peralatan pertambangan yang menggunakan bahan bakar fosil menjadi elektrik, e-mining reporting system yaitu, system pelaporan produksi secara real time dan daring dan berbagai program manajemen karbon di area operasional penambangan.",2026-04-08T02:46:34.453805Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,,
aspect:teknologi_ramah_lingkungan,Aspect,teknologi ramah lingkungan,,,,,
record:r025_003,ESGRecord,r025_003,"Perseroan juga menciptakan sinergi dan kerja sama dengan berbagai mitra strategis dalam mewujudkan energi bersih seperti pengembangan PLTS, PLTB, tanaman Kaliandra untuk mengurangi emisi karbon dan menjadi simpanan biomassa untuk diolah menjadi wood pellet sebagai bahan campuran co-firing di PLTU serta Carbon Capture, Utilization (CCU) atau penangkapan karbon dioksida dan dikonversi menjadi methanol.",2026-04-08T02:46:34.453805Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,,
aspect:kerja_sama_energi_bersih,Aspect,kerja sama energi bersih,,,,,
climatelabel:opportunity,ClimateLabel,opportunity,,,,,
record:r025_004,ESGRecord,r025_004,PTBA berkomitmen mendukung target Pemerintah mencapai Emisi Nol Bersih atau Net Zero Emission pada 2060.,2026-04-08T02:46:34.453805Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,,
aspect:komitmen_net_zero,Aspect,komitmen net zero,,,,,
record:r025_005,ESGRecord,r025_005,"Dengan visi menjadi perusahaan energi kelas dunia, PTBA telah memiliki roadmap manajemen karbon hingga 2050, baik bersifat pengurangan emisi (reducing emission sources/ maupun peningkatan penyerapan emisi (increase carbon sinks).",2026-04-08T02:46:34.453805Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,,
aspect:roadmap_karbon,Aspect,roadmap karbon,,,,,
record:r025_006,ESGRecord,r025_006,"Berdasarkan manajemen karbon hingga 2050, terdapat 3 (tiga) pendekatan yang dilakukan PTBA, yaitu dekarbonisasi operasi, reklamasi, dan studi CCU (carbon capture, utilization, and utilization).",2026-04-08T02:46:34.453805Z,20250526113828-2025-05-26ptba_laporan_berkelanjutan113825_pdf/batch_5,,
aspect:pendekatan_karbon,Aspect,pendekatan karbon,,,,,
